,Census Tract,County,"Hospitalization_Census_Tract_Rate_per_100,000","Hospitlization_State_Rate_per_100,000",Adult_Pop_Over_18,Census_Tract_Estimate,Pop_Total,Pop_Density/Sq_Mile,Percent_Poverty,Median_Household_Income,Poverty_Mean_Household_Income,Per_Capita_Income,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,Low_Income_Tract,Percent_Education_Population_AgeOver24_LessThan9th,Percent_Education_Population_AgeOver24_NoHSDiploma,Percent_Education_Population_AgeOver24_HSD_Higher,Percent_Education_Population_AgeOver24_Bachelors_Higher
1152,8041004902,EL PASO,1004.68,1267.78,4677,8.0,5978,3783.5,5.2,89464.0,113171.0,41110,0,0,0,0,1,0,0,0.5,2.8,97.2,49.4
1153,8041004501,EL PASO,2475.71,1267.78,3324,6.9,4729,902.5,20.8,43415.0,54587.0,19144,1,1,1,0,1,0,1,8.4,18.9,81.1,12.6
1154,8041004008,EL PASO,982.95,1267.78,1873,3.8,3030,195.6,9.5,67500.0,73686.0,21681,0,0,0,0,1,0,1,0.0,0.0,100.0,36.6
1155,8041007000,EL PASO,742.2,1267.78,3039,6.9,4060,2000.0,3.3,120417.0,135877.0,46774,0,0,0,0,1,0,0,1.2,2.5,97.6,62.4
1156,8041003702,EL PASO,452.67,1267.78,3972,9.0,5087,2518.3,5.2,109884.0,128549.0,49277,0,0,0,0,1,0,0,1.1,1.8,98.2,68.7
1157,8041002800,EL PASO,3005.26,1267.78,4772,7.9,6113,2144.9,14.6,43716.0,60757.0,27572,0,1,0,1,1,0,1,3.5,14.8,85.2,21.3
1158,8041001301,EL PASO,1870.59,1267.78,1894,7.9,2143,4202.0,21.2,48664.0,53725.0,28267,0,0,0,0,1,0,1,3.6,8.4,91.6,32.2
1159,8041003902,EL PASO,1302.84,1267.78,8358,6.9,12304,302.5,3.6,104623.0,107516.0,34271,0,0,0,0,0,1,0,0.4,1.2,98.7,48.6
1160,8041007300,EL PASO,702.95,1267.78,7324,7.4,10403,698.2,5.9,129015.0,158750.0,53181,0,0,0,0,0,1,0,0.7,1.4,98.6,64.0
1161,8005083700,ARAPAHOE,968.81,1267.78,3342,8.6,4311,2395.0,5.0,81875.0,101572.0,38281,0,0,0,0,1,0,0,3.5,5.3,94.7,50.9
1162,8005086100,ARAPAHOE,1161.41,1267.78,3257,6.2,4804,6580.8,2.4,97625.0,97599.0,31840,0,0,0,0,1,0,0,0.4,3.7,96.3,37.9
1163,8005007107,ARAPAHOE,1030.08,1267.78,5618,6.2,8660,1589.0,3.1,123819.0,138418.0,41389,0,0,0,0,1,0,0,0.6,2.6,97.3,48.4
1164,8005085100,ARAPAHOE,1194.21,1267.78,4656,7.5,6920,4805.6,1.7,155403.0,173657.0,50676,0,0,0,0,1,0,0,1.2,3.1,96.9,61.5
1165,8005085600,ARAPAHOE,918.2,1267.78,2316,6.6,3317,6769.4,0.8,126550.0,140790.0,42758,0,0,0,0,1,0,0,1.8,4.4,95.6,53.8
1166,8005085500,ARAPAHOE,1003.33,1267.78,4197,7.0,5581,6644.0,2.0,112868.0,121578.0,39858,0,0,0,0,1,0,0,1.6,3.7,96.3,50.7
1167,8005087000,ARAPAHOE,2542.46,1267.78,4270,5.7,5090,13756.8,24.1,49688.0,62513.0,27022,0,1,0,0,1,0,1,4.5,8.5,91.5,38.7
1168,8005086800,ARAPAHOE,2197.67,1267.78,5571,6.1,7062,10700.0,15.4,55669.0,78881.0,36803,1,1,1,1,1,0,1,3.6,10.4,89.6,52.3
1169,8005005551,ARAPAHOE,1886.54,1267.78,2761,6.7,3506,2897.5,16.5,47126.0,52377.0,18664,0,1,0,1,1,0,1,16.2,29.3,70.7,17.8
1170,8005007702,ARAPAHOE,2046.63,1267.78,3220,6.9,4260,3981.3,16.8,49044.0,64224.0,23933,0,1,0,1,1,0,1,5.7,15.4,84.5,14.2
1171,8005080100,ARAPAHOE,2769.91,1267.78,3407,8.0,4425,8045.5,14.9,38977.0,54318.0,23301,0,0,0,0,1,0,1,5.6,11.8,88.2,24.6
1172,8005084800,ARAPAHOE,2481.72,1267.78,2547,5.4,3519,6067.2,5.7,82092.0,90715.0,30788,0,0,0,0,1,0,0,0.0,4.6,95.4,40.7
1173,8005007101,ARAPAHOE,974.7,1267.78,3975,7.4,5121,11.1,7.3,72534.0,92680.0,34080,0,0,0,0,0,1,0,3.3,7.2,92.8,22.0
