OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,Diabetes_Census_Tract_Estimate,Diabetes_Estimate_Confidence_Interval,Diabetes_Map_Symbol_withinHSR,Diabetes_County_Regional_Estimate,Diabetes_Map_Symbol_State,Diabetes_State_Estimate
1,8043979000,"Census Tract 9790, Fremont County, Colorado",Fremont,2994,13,10,95% C.I.: 9.2 - 11,Fourth Quintile,County/Regional Estimate 9.2% (95% C.I.: 6.9 - 11.5),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
2,8045951600,"Census Tract 9516, Garfield County, Colorado",Garfield,2800,12,5,95% C.I.: 4.5 - 5.7,Fourth Quintile,County/Regional Estimate 5.1% (95% C.I.: 3 - 7.3),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
3,8069002803,"Census Tract 28.03, Larimer County, Colorado",Larimer,97,2,1.6,95% C.I.: 1.5 - 1.7,Lowest Quintile,County/Regional Estimate 5.1% (95% C.I.: 4.2 - 5.9),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
4,8125963200,"Census Tract 9632, Yuma County, Colorado",Yuma,4381,1,8,95% C.I.: 6.5 - 10.3,Lowest Quintile,County/Regional Estimate 8.4% (95% C.I.: 4.3 - 12.4),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
5,8069002401,"Census Tract 24.01, Larimer County, Colorado",Larimer,1190,2,8,95% C.I.: 7.6 - 8.5,Highest Quintile,County/Regional Estimate 5.1% (95% C.I.: 4.2 - 5.9),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
6,8069002402,"Census Tract 24.02, Larimer County, Colorado",Larimer,2298,2,6.9,95% C.I.: 6.6 - 7.2,Highest Quintile,County/Regional Estimate 5.1% (95% C.I.: 4.2 - 5.9),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
7,8103951200,"Census Tract 9512, Rio Blanco County, Colorado",Rio Blanco,2080,11,6.9,95% C.I.: 5.6 - 9.2,Fourth Quintile,County/Regional Estimate 8.2% (95% C.I.: 1.9 - 14.4),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
8,8103951100,"Census Tract 9511, Rio Blanco County, Colorado",Rio Blanco,2887,11,6.3,95% C.I.: 5 - 8.3,Fourth Quintile,County/Regional Estimate 8.2% (95% C.I.: 1.9 - 14.4),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
9,8049000201,"Census Tract 2.01, Grand County, Colorado",Grand,4247,12,3.1,95% C.I.: 2.5 - 4.2,Middle Quintile,County/Regional Estimate 3.5% (95% C.I.: 0.1 - 6.8),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
10,8049000202,"Census Tract 2.02, Grand County, Colorado",Grand,5788,12,3.3,95% C.I.: 2.7 - 4.9,Fourth Quintile,County/Regional Estimate 3.5% (95% C.I.: 0.1 - 6.8),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
11,8049000100,"Census Tract 1, Grand County, Colorado",Grand,2203,12,2.7,95% C.I.: 2.1 - 4.6,Middle Quintile,County/Regional Estimate 3.5% (95% C.I.: 0.1 - 6.8),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
12,8081000600,"Census Tract 6, Moffat County, Colorado",Moffat,958,11,6.9,95% C.I.: 5.8 - 8.9,Highest Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.3 - 10.5),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
13,8081000500,"Census Tract 5, Moffat County, Colorado",Moffat,3137,11,6.3,95% C.I.: 5.4 - 7.9,Fourth Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.3 - 10.5),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
14,8081000400,"Census Tract 4, Moffat County, Colorado",Moffat,3471,11,6,95% C.I.: 5 - 7.7,Middle Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.3 - 10.5),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
15,8081000300,"Census Tract 3, Moffat County, Colorado",Moffat,2123,11,8.2,95% C.I.: 7.1 - 9.6,Highest Quintile,County/Regional Estimate 6.9% (95% C.I.: 3.3 - 10.5),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
16,8057955600,"Census Tract 9556, Jackson County, Colorado",Jackson,1082,11,16.3,95% C.I.: 13.7 - 21.7,Highest Quintile,County/Regional Estimate 5.8% (95% C.I.: 3.7 - 8),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
17,8121924100,"Census Tract 9241, Washington County, Colorado",Washington,1455,1,10.2,95% C.I.: 8.2 - 12.9,Middle Quintile,County/Regional Estimate 12.8% (95% C.I.: 5.6 - 20.1),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
18,8107000800,"Census Tract 8, Routt County, Colorado",Routt,1658,11,2.6,95% C.I.: 2.1 - 3.9,Lowest Quintile,County/Regional Estimate 3.3% (95% C.I.: 0.7 - 5.9),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
19,8107000700,"Census Tract 7, Routt County, Colorado",Routt,4215,11,2,95% C.I.: 1.5 - 2.9,Lowest Quintile,County/Regional Estimate 3.3% (95% C.I.: 0.7 - 5.9),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
20,8107000500,"Census Tract 5, Routt County, Colorado",Routt,3589,11,2.3,95% C.I.: 1.9 - 3.3,Lowest Quintile,County/Regional Estimate 3.3% (95% C.I.: 0.7 - 5.9),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
21,8107000200,"Census Tract 2, Routt County, Colorado",Routt,1487,11,4.8,95% C.I.: 4.1 - 6.3,Middle Quintile,County/Regional Estimate 3.3% (95% C.I.: 0.7 - 5.9),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
22,8107000400,"Census Tract 4, Routt County, Colorado",Routt,2958,11,3.1,95% C.I.: 2.6 - 4.3,Middle Quintile,County/Regional Estimate 3.3% (95% C.I.: 0.7 - 5.9),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
23,8107000600,"Census Tract 6, Routt County, Colorado",Routt,2509,11,2.9,95% C.I.: 2.4 - 3.7,Second Quintile,County/Regional Estimate 3.3% (95% C.I.: 0.7 - 5.9),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
24,8107000300,"Census Tract 3, Routt County, Colorado",Routt,1805,11,2.8,95% C.I.: 2.3 - 3.8,Second Quintile,County/Regional Estimate 3.3% (95% C.I.: 0.7 - 5.9),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
25,8107000100,"Census Tract 1, Routt County, Colorado",Routt,1532,11,2.8,95% C.I.: 2.3 - 3.6,Second Quintile,County/Regional Estimate 3.3% (95% C.I.: 0.7 - 5.9),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
26,8051963900,"Census Tract 9639, Gunnison County, Colorado",Gunnison,776,10,1.7,95% C.I.: 1.2 - 3.1,Lowest Quintile,County/Regional Estimate 1.6% (95% C.I.: 0.1 - 3.1),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
27,8051963700,"Census Tract 9637, Gunnison County, Colorado",Gunnison,5729,10,0.9,95% C.I.: 0.6 - 2.3,Lowest Quintile,County/Regional Estimate 1.6% (95% C.I.: 0.1 - 3.1),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
28,8051963600,"Census Tract 9636, Gunnison County, Colorado",Gunnison,3065,10,1.8,95% C.I.: 1.4 - 3.1,Lowest Quintile,County/Regional Estimate 1.6% (95% C.I.: 0.1 - 3.1),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
29,8051963800,"Census Tract 9638, Gunnison County, Colorado",Gunnison,3774,10,1.5,95% C.I.: 1.1 - 2.5,Lowest Quintile,County/Regional Estimate 1.6% (95% C.I.: 0.1 - 3.1),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
30,8021974900,"Census Tract 9749, Conejos County, Colorado",Conejos,3029,8,11.4,95% C.I.: 9.3 - 14.8,Middle Quintile,County/Regional Estimate 11.8% (95% C.I.: 4.9 - 18.7),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
31,8021974800,"Census Tract 9748, Conejos County, Colorado",Conejos,2876,8,13,95% C.I.: 10.5 - 16.6,Fourth Quintile,County/Regional Estimate 11.8% (95% C.I.: 4.9 - 18.7),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
32,8037000703,"Census Tract 7.03, Eagle County, Colorado",Eagle,2394,12,2.8,95% C.I.: 2.4 - 3.4,Middle Quintile,County/Regional Estimate 3.3% (95% C.I.: 1.3 - 5.4),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
33,8037000301,"Census Tract 3.01, Eagle County, Colorado",Eagle,4847,12,2.2,95% C.I.: 1.9 - 2.9,Second Quintile,County/Regional Estimate 3.3% (95% C.I.: 1.3 - 5.4),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
34,8037000702,"Census Tract 7.02, Eagle County, Colorado",Eagle,1428,12,1.7,95% C.I.: 1.4 - 2.4,Lowest Quintile,County/Regional Estimate 3.3% (95% C.I.: 1.3 - 5.4),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
35,8037000402,"Census Tract 4.02, Eagle County, Colorado",Eagle,3591,12,1.5,95% C.I.: 1.3 - 2.2,Lowest Quintile,County/Regional Estimate 3.3% (95% C.I.: 1.3 - 5.4),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
36,8037000501,"Census Tract 5.01, Eagle County, Colorado",Eagle,590,12,2,95% C.I.: 1.7 - 2.6,Second Quintile,County/Regional Estimate 3.3% (95% C.I.: 1.3 - 5.4),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
37,8037000502,"Census Tract 5.02, Eagle County, Colorado",Eagle,3371,12,1.2,95% C.I.: 1.1 - 1.9,Lowest Quintile,County/Regional Estimate 3.3% (95% C.I.: 1.3 - 5.4),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
38,8037000302,"Census Tract 3.02, Eagle County, Colorado",Eagle,1834,12,2.2,95% C.I.: 1.8 - 2.8,Second Quintile,County/Regional Estimate 3.3% (95% C.I.: 1.3 - 5.4),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
39,8037000403,"Census Tract 4.03, Eagle County, Colorado",Eagle,5966,12,1.9,95% C.I.: 1.6 - 2.5,Second Quintile,County/Regional Estimate 3.3% (95% C.I.: 1.3 - 5.4),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
40,8037000701,"Census Tract 7.01, Eagle County, Colorado",Eagle,1326,12,1.3,95% C.I.: 1.1 - 1.8,Lowest Quintile,County/Regional Estimate 3.3% (95% C.I.: 1.3 - 5.4),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
41,8037000401,"Census Tract 4.01, Eagle County, Colorado",Eagle,3403,12,1.5,95% C.I.: 1.3 - 2.1,Lowest Quintile,County/Regional Estimate 3.3% (95% C.I.: 1.3 - 5.4),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
42,8037000503,"Census Tract 5.03, Eagle County, Colorado",Eagle,4804,12,1.3,95% C.I.: 1.1 - 2.1,Lowest Quintile,County/Regional Estimate 3.3% (95% C.I.: 1.3 - 5.4),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
43,8037000100,"Census Tract 1, Eagle County, Colorado",Eagle,1204,12,1.8,95% C.I.: 1.6 - 2.5,Second Quintile,County/Regional Estimate 3.3% (95% C.I.: 1.3 - 5.4),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
44,8037000600,"Census Tract 6, Eagle County, Colorado",Eagle,1354,12,2,95% C.I.: 1.7 - 2.7,Second Quintile,County/Regional Estimate 3.3% (95% C.I.: 1.3 - 5.4),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
45,8037000200,"Census Tract 2, Eagle County, Colorado",Eagle,5529,12,2.2,95% C.I.: 1.8 - 2.7,Second Quintile,County/Regional Estimate 3.3% (95% C.I.: 1.3 - 5.4),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
46,8045951901,"Census Tract 9519.01, Garfield County, Colorado",Garfield,3467,12,5.1,95% C.I.: 4.6 - 5.7,Highest Quintile,County/Regional Estimate 5.1% (95% C.I.: 3 - 7.3),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
47,8045951701,"Census Tract 9517.01, Garfield County, Colorado",Garfield,3103,12,6.5,95% C.I.: 5.8 - 7.3,Highest Quintile,County/Regional Estimate 5.1% (95% C.I.: 3 - 7.3),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
48,8045951902,"Census Tract 9519.02, Garfield County, Colorado",Garfield,5234,12,5.3,95% C.I.: 4.8 - 5.9,Highest Quintile,County/Regional Estimate 5.1% (95% C.I.: 3 - 7.3),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
49,8045951702,"Census Tract 9517.02, Garfield County, Colorado",Garfield,2948,12,5.5,95% C.I.: 5 - 6.1,Highest Quintile,County/Regional Estimate 5.1% (95% C.I.: 3 - 7.3),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
50,8045952001,"Census Tract 9520.01, Garfield County, Colorado",Garfield,3716,12,6.3,95% C.I.: 5.6 - 7.3,Highest Quintile,County/Regional Estimate 5.1% (95% C.I.: 3 - 7.3),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
51,8045952002,"Census Tract 9520.02, Garfield County, Colorado",Garfield,5960,12,4.8,95% C.I.: 4.3 - 5.5,Fourth Quintile,County/Regional Estimate 5.1% (95% C.I.: 3 - 7.3),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
52,8045951803,"Census Tract 9518.03, Garfield County, Colorado",Garfield,4590,12,5,95% C.I.: 4.5 - 5.8,Fourth Quintile,County/Regional Estimate 5.1% (95% C.I.: 3 - 7.3),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
53,8045951804,"Census Tract 9518.04, Garfield County, Colorado",Garfield,3152,12,7.5,95% C.I.: 6.8 - 8.3,Highest Quintile,County/Regional Estimate 5.1% (95% C.I.: 3 - 7.3),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
54,8045951802,"Census Tract 9518.02, Garfield County, Colorado",Garfield,2946,12,5.8,95% C.I.: 5.3 - 6.5,Highest Quintile,County/Regional Estimate 5.1% (95% C.I.: 3 - 7.3),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
55,8045952100,"Census Tract 9521, Garfield County, Colorado",Garfield,5069,12,6.7,95% C.I.: 6 - 7.7,Highest Quintile,County/Regional Estimate 5.1% (95% C.I.: 3 - 7.3),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
56,8067970704,"Census Tract 9707.04, La Plata County, Colorado",La Plata,3333,9,5.3,95% C.I.: 4.7 - 6,Second Quintile,County/Regional Estimate 4.9% (95% C.I.: 3.2 - 6.6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
57,8067970703,"Census Tract 9707.03, La Plata County, Colorado",La Plata,4471,9,4.7,95% C.I.: 4.2 - 5.4,Second Quintile,County/Regional Estimate 4.9% (95% C.I.: 3.2 - 6.6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
58,8067970701,"Census Tract 9707.01, La Plata County, Colorado",La Plata,3965,9,6.7,95% C.I.: 5.9 - 7.6,Fourth Quintile,County/Regional Estimate 4.9% (95% C.I.: 3.2 - 6.6),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
59,8067940300,"Census Tract 9403, La Plata County, Colorado",La Plata,4760,9,9.3,95% C.I.: 8.1 - 10.8,Fourth Quintile,County/Regional Estimate 4.9% (95% C.I.: 3.2 - 6.6),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
60,8097000500,"Census Tract 5, Pitkin County, Colorado",Pitkin,1867,12,2.7,95% C.I.: 2.2 - 3.9,Middle Quintile,County/Regional Estimate 2% (95% C.I.: 0 - 4.5),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
61,8097000401,"Census Tract 4.01, Pitkin County, Colorado",Pitkin,4147,12,1,95% C.I.: 0.7 - 1.8,Lowest Quintile,County/Regional Estimate 2% (95% C.I.: 0 - 4.5),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
62,8097000402,"Census Tract 4.02, Pitkin County, Colorado",Pitkin,2527,12,2.3,95% C.I.: 1.8 - 3.9,Middle Quintile,County/Regional Estimate 2% (95% C.I.: 0 - 4.5),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
63,8097000100,"Census Tract 1, Pitkin County, Colorado",Pitkin,6326,12,1.6,95% C.I.: 1.3 - 2.5,Lowest Quintile,County/Regional Estimate 2% (95% C.I.: 0 - 4.5),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
64,8117000402,"Census Tract 4.02, Summit County, Colorado",Summit,5673,12,3.1,95% C.I.: 2.7 - 3.8,Fourth Quintile,County/Regional Estimate 2.6% (95% C.I.: 0.5 - 4.7),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
65,8117000401,"Census Tract 4.01, Summit County, Colorado",Summit,3393,12,2.4,95% C.I.: 2 - 3.1,Middle Quintile,County/Regional Estimate 2.6% (95% C.I.: 0.5 - 4.7),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
66,8117000100,"Census Tract 1, Summit County, Colorado",Summit,6816,12,3.4,95% C.I.: 2.9 - 4.6,Fourth Quintile,County/Regional Estimate 2.6% (95% C.I.: 0.5 - 4.7),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
67,8117000200,"Census Tract 2, Summit County, Colorado",Summit,5528,12,2.6,95% C.I.: 2.2 - 3.5,Middle Quintile,County/Regional Estimate 2.6% (95% C.I.: 0.5 - 4.7),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
68,8117000300,"Census Tract 3, Summit County, Colorado",Summit,3511,12,4.5,95% C.I.: 3.9 - 5.4,Fourth Quintile,County/Regional Estimate 2.6% (95% C.I.: 0.5 - 4.7),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
69,8067971100,"Census Tract 9711, La Plata County, Colorado",La Plata,3784,9,6.3,95% C.I.: 5.3 - 7.6,Middle Quintile,County/Regional Estimate 4.9% (95% C.I.: 3.2 - 6.6),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
70,8067971000,"Census Tract 9710, La Plata County, Colorado",La Plata,2322,9,5,95% C.I.: 4.4 - 5.8,Second Quintile,County/Regional Estimate 4.9% (95% C.I.: 3.2 - 6.6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
71,8067970900,"Census Tract 9709, La Plata County, Colorado",La Plata,3409,9,6.4,95% C.I.: 5.6 - 7.4,Middle Quintile,County/Regional Estimate 4.9% (95% C.I.: 3.2 - 6.6),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
72,8067970800,"Census Tract 9708, La Plata County, Colorado",La Plata,6155,9,3.2,95% C.I.: 2.7 - 3.9,Lowest Quintile,County/Regional Estimate 4.9% (95% C.I.: 3.2 - 6.6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
73,8067940400,"Census Tract 9404, La Plata County, Colorado",La Plata,4511,9,6.4,95% C.I.: 5.6 - 7.4,Fourth Quintile,County/Regional Estimate 4.9% (95% C.I.: 3.2 - 6.6),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
74,8067970600,"Census Tract 9706, La Plata County, Colorado",La Plata,7255,9,5.4,95% C.I.: 4.8 - 6.2,Middle Quintile,County/Regional Estimate 4.9% (95% C.I.: 3.2 - 6.6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
75,8065961900,"Census Tract 9619, Lake County, Colorado",Lake,1659,13,14.8,95% C.I.: 12.9 - 18,Highest Quintile,County/Regional Estimate 15.1% (95% C.I.: 4.9 - 25.4),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
76,8065961700,"Census Tract 9617, Lake County, Colorado",Lake,4485,13,6.4,95% C.I.: 5 - 10.1,Lowest Quintile,County/Regional Estimate 15.1% (95% C.I.: 4.9 - 25.4),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
77,8029965100,"Census Tract 9651, Delta County, Colorado",Delta,3447,10,8.3,95% C.I.: 7.5 - 9.3,Middle Quintile,County/Regional Estimate 9.4% (95% C.I.: 6.1 - 12.6),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
78,8029965200,"Census Tract 9652, Delta County, Colorado",Delta,3296,10,9.2,95% C.I.: 8.3 - 10.1,Fourth Quintile,County/Regional Estimate 9.4% (95% C.I.: 6.1 - 12.6),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
79,8029964600,"Census Tract 9646, Delta County, Colorado",Delta,2892,10,8.5,95% C.I.: 7.7 - 9.5,Middle Quintile,County/Regional Estimate 9.4% (95% C.I.: 6.1 - 12.6),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
80,8029965000,"Census Tract 9650, Delta County, Colorado",Delta,3690,10,8.5,95% C.I.: 7.8 - 9.4,Middle Quintile,County/Regional Estimate 9.4% (95% C.I.: 6.1 - 12.6),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
81,8029964900,"Census Tract 9649, Delta County, Colorado",Delta,4176,10,8.8,95% C.I.: 7.9 - 9.9,Middle Quintile,County/Regional Estimate 9.4% (95% C.I.: 6.1 - 12.6),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
82,8029964800,"Census Tract 9648, Delta County, Colorado",Delta,3359,10,7.4,95% C.I.: 6.6 - 8.5,Second Quintile,County/Regional Estimate 9.4% (95% C.I.: 6.1 - 12.6),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
83,8029964700,"Census Tract 9647, Delta County, Colorado",Delta,3201,10,9.2,95% C.I.: 8.3 - 10.3,Fourth Quintile,County/Regional Estimate 9.4% (95% C.I.: 6.1 - 12.6),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
84,8003960300,"Census Tract 9603, Alamosa County, Colorado",Alamosa,3872,8,4.2,95% C.I.: 3.2 - 7,Lowest Quintile,County/Regional Estimate 5.8% (95% C.I.: 3.1 - 8.5),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
85,8003960200,"Census Tract 9602, Alamosa County, Colorado",Alamosa,5184,8,4.6,95% C.I.: 3.7 - 6.6,Lowest Quintile,County/Regional Estimate 5.8% (95% C.I.: 3.1 - 8.5),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
86,8113968102,"Census Tract 9681.02, San Miguel County, Colorado",San Miguel,1598,10,2.6,95% C.I.: 1.8 - 4.8,Second Quintile,County/Regional Estimate 3% (95% C.I.: 0 - 7.1),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
87,8113968101,"Census Tract 9681.01, San Miguel County, Colorado",San Miguel,1534,10,2.2,95% C.I.: 1.5 - 4.2,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 0 - 7.1),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
88,8113968103,"Census Tract 9681.03, San Miguel County, Colorado",San Miguel,1700,10,3.4,95% C.I.: 2.7 - 5,Second Quintile,County/Regional Estimate 3% (95% C.I.: 0 - 7.1),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
89,8113968200,"Census Tract 9682, San Miguel County, Colorado",San Miguel,1523,10,4.2,95% C.I.: 3.1 - 6.3,Second Quintile,County/Regional Estimate 3% (95% C.I.: 0 - 7.1),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
90,8079973600,"Census Tract 9736, Mineral County, Colorado",Mineral,752,8,1.2,95% C.I.: 0.7 - 8.1,Lowest Quintile,County/Regional Estimate 9.8% (95% C.I.: 7.3 - 12.3),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
91,8083941100,"Census Tract 9411, Montezuma County, Colorado",Montezuma,968,9,5.8,95% C.I.: 4.5 - 8.3,Middle Quintile,County/Regional Estimate 11.7% (95% C.I.: 7.3 - 16),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
92,8083969400,"Census Tract 9694, Montezuma County, Colorado",Montezuma,2982,9,10.1,95% C.I.: 9 - 12.4,Fourth Quintile,County/Regional Estimate 11.7% (95% C.I.: 7.3 - 16),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
93,8083969100,"Census Tract 9691, Montezuma County, Colorado",Montezuma,2997,9,12.2,95% C.I.: 11 - 13.8,Highest Quintile,County/Regional Estimate 11.7% (95% C.I.: 7.3 - 16),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
94,8083969200,"Census Tract 9692, Montezuma County, Colorado",Montezuma,2306,9,13,95% C.I.: 11.7 - 14.4,Highest Quintile,County/Regional Estimate 11.7% (95% C.I.: 7.3 - 16),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
95,8083969000,"Census Tract 9690, Montezuma County, Colorado",Montezuma,2518,9,12.6,95% C.I.: 11.4 - 14.5,Highest Quintile,County/Regional Estimate 11.7% (95% C.I.: 7.3 - 16),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
96,8083969600,"Census Tract 9696, Montezuma County, Colorado",Montezuma,4090,9,11.7,95% C.I.: 10.5 - 13.4,Highest Quintile,County/Regional Estimate 11.7% (95% C.I.: 7.3 - 16),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
97,8083969300,"Census Tract 9693, Montezuma County, Colorado",Montezuma,4111,9,11.6,95% C.I.: 10.4 - 13.3,Highest Quintile,County/Regional Estimate 11.7% (95% C.I.: 7.3 - 16),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
98,8003960000,"Census Tract 9600, Alamosa County, Colorado",Alamosa,1260,8,5.3,95% C.I.: 4.2 - 7.3,Second Quintile,County/Regional Estimate 5.8% (95% C.I.: 3.1 - 8.5),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
99,8003960100,"Census Tract 9601, Alamosa County, Colorado",Alamosa,2053,8,7.2,95% C.I.: 5.8 - 9.6,Second Quintile,County/Regional Estimate 5.8% (95% C.I.: 3.1 - 8.5),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
