OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,Diabetes_Census_Tract_Estimate,Diabetes_Estimate_Confidence_Interval,Diabetes_Map_Symbol_withinHSR,Diabetes_County_Regional_Estimate,Diabetes_Map_Symbol_State,Diabetes_State_Estimate
378,8013013305,"Census Tract 133.05, Boulder County, Colorado",Boulder,4093,16,4,95% C.I.: 3.7 - 4.4,Lowest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
379,8013060900,"Census Tract 609, Boulder County, Colorado",Boulder,3707,16,4.4,95% C.I.: 4.1 - 4.8,Second Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
380,8013012509,"Census Tract 125.09, Boulder County, Colorado",Boulder,2559,16,5.3,95% C.I.: 4.9 - 5.6,Fourth Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
381,8013013208,"Census Tract 132.08, Boulder County, Colorado",Boulder,4640,16,5.5,95% C.I.: 5.2 - 5.8,Fourth Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
382,8013012701,"Census Tract 127.01, Boulder County, Colorado",Boulder,4824,16,4.3,95% C.I.: 4.1 - 4.5,Second Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
383,8013012507,"Census Tract 125.07, Boulder County, Colorado",Boulder,4023,16,3.1,95% C.I.: 2.9 - 3.4,Lowest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
384,8013012505,"Census Tract 125.05, Boulder County, Colorado",Boulder,3136,16,5.1,95% C.I.: 4.8 - 5.4,Fourth Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
385,8013013201,"Census Tract 132.01, Boulder County, Colorado",Boulder,1307,16,5.6,95% C.I.: 5.3 - 5.9,Highest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
386,8013013211,"Census Tract 132.11, Boulder County, Colorado",Boulder,4156,16,4.6,95% C.I.: 4.3 - 4.9,Middle Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
387,8013013207,"Census Tract 132.07, Boulder County, Colorado",Boulder,3612,16,4.6,95% C.I.: 4.4 - 4.9,Middle Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
