OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Population_Total,Population_Density_PerLandSquareMile,Education_Population_AgeOver24,Percent_Education_Population_AgeOver24_LessThan9th,Percent_Education_Population_AgeOver24_NoHSDiploma,Percent_Education_Population_AgeOver24_HSD_Higher,Percent_Education_Population_AgeOver24_Bachelors_Higher
744,8101002700,"Census Tract 27, Pueblo County, Colorado",8101002700,PUEBLO,5099,4678,3678,4.6,14.3,85.8,14.9
745,8101001600,"Census Tract 16, Pueblo County, Colorado",8101001600,PUEBLO,1822,1822,1370,0.2,8.1,91.9,36.1
746,8101002903,"Census Tract 29.03, Pueblo County, Colorado",8101002903,PUEBLO,6878,674.3,4760,4.7,6.9,93.1,30
747,8101000500,"Census Tract 5, Pueblo County, Colorado",8101000500,PUEBLO,1953,1395,1604,8.1,18.5,81.5,29.7
748,8101000800,"Census Tract 8, Pueblo County, Colorado",8101000800,PUEBLO,3126,3907.5,1854,7.3,21.9,78.1,9.4
749,8101002901,"Census Tract 29.01, Pueblo County, Colorado",8101002901,PUEBLO,2935,784.8,1713,6.9,15.8,84.1,20
750,8101002500,"Census Tract 25, Pueblo County, Colorado",8101002500,PUEBLO,2970,6600,1989,4,13.8,86.2,11.3
751,8101003103,"Census Tract 31.03, Pueblo County, Colorado",8101003103,PUEBLO,1909,378.8,1268,2.8,16.4,83.6,15.5
752,8101003001,"Census Tract 30.01, Pueblo County, Colorado",8101003001,PUEBLO,1016,194.6,720,2.2,7.1,92.9,18.3
753,8101001000,"Census Tract 10, Pueblo County, Colorado",8101001000,PUEBLO,5447,7074,3001,6.6,20.7,79.3,14.9
754,8101000904,"Census Tract 9.04, Pueblo County, Colorado",8101000904,PUEBLO,3699,3893.7,2951,2.5,11.5,88.4,18.1
755,8101003004,"Census Tract 30.04, Pueblo County, Colorado",8101003004,PUEBLO,2960,699.8,2119,1.2,3.3,96.7,46.9
756,8101001100,"Census Tract 11, Pueblo County, Colorado",8101001100,PUEBLO,2352,4276.4,1657,8.1,23.3,76.7,4.9
757,8101000902,"Census Tract 9.02, Pueblo County, Colorado",8101000902,PUEBLO,6413,4484.6,4028,3.8,9.3,90.7,20.9
758,8101003200,"Census Tract 32, Pueblo County, Colorado",8101003200,PUEBLO,3483,4.2,2468,3.7,13.7,86.3,18.9
759,8101000400,"Census Tract 4, Pueblo County, Colorado",8101000400,PUEBLO,2846,4446.9,1929,7.9,12.7,87.2,15.6
760,8101002806,"Census Tract 28.06, Pueblo County, Colorado",8101002806,PUEBLO,4476,13.2,2978,3.9,7.8,92.2,31.8
761,8101000300,"Census Tract 3, Pueblo County, Colorado",8101000300,PUEBLO,2099,4466,1850,13.2,35.8,64.2,5.8
762,8101002804,"Census Tract 28.04, Pueblo County, Colorado",8101002804,PUEBLO,4372,15.5,3276,0.8,5.7,94.3,29.9
763,8101001200,"Census Tract 12, Pueblo County, Colorado",8101001200,PUEBLO,2130,2088.2,1329,7.8,26.1,73.9,9.3
764,8101000600,"Census Tract 6, Pueblo County, Colorado",8101000600,PUEBLO,1960,5600,1471,12.6,23.3,76.7,15.8
765,8101002807,"Census Tract 28.07, Pueblo County, Colorado",8101002807,PUEBLO,4753,3772.2,3185,0.3,5.4,94.6,23.5
766,8101002808,"Census Tract 28.08, Pueblo County, Colorado",8101002808,PUEBLO,3305,1316.7,2093,1.3,4.2,95.8,38.8
767,8101001500,"Census Tract 15, Pueblo County, Colorado",8101001500,PUEBLO,2247,4405.9,1536,2.7,11.8,88.2,19.4
768,8101000100,"Census Tract 1, Pueblo County, Colorado",8101000100,PUEBLO,2675,1996.3,1827,1.2,3.1,96.9,31.1
769,8035014006,"Census Tract 140.06, Douglas County, Colorado",8035014006,DOUGLAS,6842,3212.2,4233,0.9,2.3,97.7,63.5
770,8035013910,"Census Tract 139.10, Douglas County, Colorado",8035013910,DOUGLAS,6434,3233.2,4079,1,1.7,98.3,49.6
771,8035014140,"Census Tract 141.40, Douglas County, Colorado",8035014140,DOUGLAS,5260,3483.4,3442,0.5,1,99,71.1
772,8035014132,"Census Tract 141.32, Douglas County, Colorado",8035014132,DOUGLAS,6366,4973.4,3872,0.2,0.4,99.6,69.8
773,8035014130,"Census Tract 141.30, Douglas County, Colorado",8035014130,DOUGLAS,7870,5786.8,4894,0,1.5,98.5,66
774,8035014124,"Census Tract 141.24, Douglas County, Colorado",8035014124,DOUGLAS,5437,5383.2,3568,0,1.4,98.6,62.4
775,8035014405,"Census Tract 144.05, Douglas County, Colorado",8035014405,DOUGLAS,7799,2190.7,4715,0.5,0.5,99.5,57.8
776,8035014505,"Census Tract 145.05, Douglas County, Colorado",8035014505,DOUGLAS,5310,928.3,3664,1.1,3.3,96.7,46.8
777,8035014603,"Census Tract 146.03, Douglas County, Colorado",8035014603,DOUGLAS,7436,2927.6,4285,0,4.2,95.8,39.4
778,8035014403,"Census Tract 144.03, Douglas County, Colorado",8035014403,DOUGLAS,5520,89.2,4056,1.1,2.7,97.3,52
779,8035014404,"Census Tract 144.04, Douglas County, Colorado",8035014404,DOUGLAS,2681,29.1,2150,0.3,0.9,99.1,53.4
780,8035014128,"Census Tract 141.28, Douglas County, Colorado",8035014128,DOUGLAS,5027,6206.2,3457,0,1.6,98.4,56.9
781,8035014129,"Census Tract 141.29, Douglas County, Colorado",8035014129,DOUGLAS,3923,7401.9,2357,0,0.6,99.4,70.2
782,8035014134,"Census Tract 141.34, Douglas County, Colorado",8035014134,DOUGLAS,6478,5266.7,3836,0.6,1.1,98.9,69.3
783,8035014136,"Census Tract 141.36, Douglas County, Colorado",8035014136,DOUGLAS,9188,7122.5,5480,0.8,1.7,98.2,52.9
784,8035014138,"Census Tract 141.38, Douglas County, Colorado",8035014138,DOUGLAS,3313,4538.4,2531,0,0.3,99.7,56
