OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Population_Total,Population_Density_PerLandSquareMile,Education_Population_AgeOver24,Percent_Education_Population_AgeOver24_LessThan9th,Percent_Education_Population_AgeOver24_NoHSDiploma,Percent_Education_Population_AgeOver24_HSD_Higher,Percent_Education_Population_AgeOver24_Bachelors_Higher
893,8031003101,"Census Tract 31.01, Denver County, Colorado",8031003101,DENVER,1692,8460,1303,1,5.8,94.2,64.4
894,8031002402,"Census Tract 24.02, Denver County, Colorado",8031002402,DENVER,1988,11694.1,1529,2.5,7.7,92.3,50.8
895,8031002602,"Census Tract 26.02, Denver County, Colorado",8031002602,DENVER,2724,18160,2418,1.8,4.4,95.6,75.4
896,8031003603,"Census Tract 36.03, Denver County, Colorado",8031003603,DENVER,3245,4269.7,2583,3.4,8.4,91.6,52
897,8031003002,"Census Tract 30.02, Denver County, Colorado",8031003002,DENVER,2498,4460.7,2159,0,1.7,98.3,71.6
898,8031003500,"Census Tract 35, Denver County, Colorado",8031003500,DENVER,6687,2562.1,4023,28.7,42.5,57.5,15
899,8031003602,"Census Tract 36.02, Denver County, Colorado",8031003602,DENVER,4253,5523.4,2814,17.4,30.1,69.9,32.1
900,8031002300,"Census Tract 23, Denver County, Colorado",8031002300,DENVER,5801,10358.9,4145,6.4,12.9,87.1,49.4
901,8031003601,"Census Tract 36.01, Denver County, Colorado",8031003601,DENVER,4775,9362.7,3344,19.5,28.5,71.5,31
902,8031002702,"Census Tract 27.02, Denver County, Colorado",8031002702,DENVER,5913,23652,5219,0.2,0.6,99.4,68.6
903,8031002701,"Census Tract 27.01, Denver County, Colorado",8031002701,DENVER,4721,21459.1,4340,2.4,3.9,96,62.8
904,8031002601,"Census Tract 26.01, Denver County, Colorado",8031002601,DENVER,3316,16580,2883,0.5,5,95,58.3
905,8031002403,"Census Tract 24.03, Denver County, Colorado",8031002403,DENVER,3685,10236.1,2973,3.4,9.3,90.8,46.6
906,8031002000,"Census Tract 20, Denver County, Colorado",8031002000,DENVER,1962,6540,1821,0.6,2.1,97.9,61.3
907,8031001800,"Census Tract 18, Denver County, Colorado",8031001800,DENVER,3417,8992.1,2567,9.2,19.8,80.2,42.9
908,8031001701,"Census Tract 17.01, Denver County, Colorado",8031001701,DENVER,5878,13359.1,5389,2.4,6.4,93.6,72.4
909,8031001600,"Census Tract 16, Denver County, Colorado",8031001600,DENVER,10639,8579.8,8349,5,8.4,91.5,60.7
910,8031008306,"Census Tract 83.06, Denver County, Colorado",8031008306,DENVER,6830,12886.8,3957,21.2,35.1,64.9,8.1
911,8031001500,"Census Tract 15, Denver County, Colorado",8031001500,DENVER,4225,2041.1,2292,13.6,31.4,68.6,15.4
912,8031001101,"Census Tract 11.01, Denver County, Colorado",8031001101,DENVER,2626,7502.9,1877,13.4,26.7,73.3,27.2
913,8031000402,"Census Tract 4.02, Denver County, Colorado",8031000402,DENVER,5174,8084.4,4473,5.3,9.1,90.8,67.4
914,8031000401,"Census Tract 4.01, Denver County, Colorado",8031000401,DENVER,3428,9021.1,2599,6.3,13.8,86.3,48.9
915,8031000800,"Census Tract 8, Denver County, Colorado",8031000800,DENVER,1441,2251.6,520,27.3,47.1,52.9,3.1
916,8031000701,"Census Tract 7.01, Denver County, Colorado",8031000701,DENVER,4351,9458.7,3321,10.7,28.6,71.4,26.7
917,8031000502,"Census Tract 5.02, Denver County, Colorado",8031000502,DENVER,5916,9541.9,4516,11.9,14.9,85.1,51.7
918,8031000303,"Census Tract 3.03, Denver County, Colorado",8031000303,DENVER,4426,7764.9,3748,1.3,4.1,95.9,64.8
920,8031015500,"Census Tract 155, Denver County, Colorado",8031015500,DENVER,3794,15808.3,2668,6.1,10.2,89.8,33.3
921,8031000501,"Census Tract 5.01, Denver County, Colorado",8031000501,DENVER,2018,3956.9,1644,3,4.9,95.1,70.3
922,8031000302,"Census Tract 3.02, Denver County, Colorado",8031000302,DENVER,4573,8166.1,3410,0.7,4.5,95.6,65.5
923,8031000202,"Census Tract 2.02, Denver County, Colorado",8031000202,DENVER,3994,5873.5,2969,9.3,20.7,79.3,29.9
924,8031000102,"Census Tract 1.02, Denver County, Colorado",8031000102,DENVER,3456,5316.9,2747,2.6,4.1,95.9,60.8
925,8031000201,"Census Tract 2.01, Denver County, Colorado",8031000201,DENVER,3881,4791.4,2978,14.2,24.1,75.9,27.7
926,8031004405,"Census Tract 44.05, Denver County, Colorado",8031004405,DENVER,8593,3719.9,6273,1.7,2.4,97.6,75.1
927,8031004106,"Census Tract 41.06, Denver County, Colorado",8031004106,DENVER,12640,2253.1,8631,1,6.9,93.2,64.4
928,8031015600,"Census Tract 156, Denver County, Colorado",8031015600,DENVER,8536,5927.8,4817,22.4,44.7,55.4,8.4
929,8031015400,"Census Tract 154, Denver County, Colorado",8031015400,DENVER,4605,4470.9,2946,4.1,6.8,93.2,46
930,8031008390,"Census Tract 83.90, Denver County, Colorado",8031008390,DENVER,9485,11158.8,5562,9.4,21.3,78.7,19
931,8031008391,"Census Tract 83.91, Denver County, Colorado",8031008391,DENVER,6898,7928.7,4385,5.2,14.9,85.1,21.3
932,8031000301,"Census Tract 3.01, Denver County, Colorado",8031000301,DENVER,5742,7759.5,4672,6.3,11.6,88.4,57.3
933,8031001901,"Census Tract 19.01, Denver County, Colorado",8031001901,DENVER,2787,3096.7,1757,18.8,38.8,61.1,20.9
934,8031000905,"Census Tract 9.05, Denver County, Colorado",8031000905,DENVER,4221,8276.5,2843,14.7,32.6,67.4,24.1
935,8031000702,"Census Tract 7.02, Denver County, Colorado",8031000702,DENVER,5128,9496.3,3114,14.7,26.8,73.2,26.3
936,8031008389,"Census Tract 83.89, Denver County, Colorado",8031008389,DENVER,10589,4769.8,6697,6.7,11.4,88.5,27.7
937,8031008386,"Census Tract 83.86, Denver County, Colorado",8031008386,DENVER,5259,10518,2858,22.2,40.8,59.2,9.2
938,8031015300,"Census Tract 153, Denver County, Colorado",8031015300,DENVER,3770,8568.2,3111,2.1,6.9,93.2,56.6
939,8031004306,"Census Tract 43.06, Denver County, Colorado",8031004306,DENVER,5490,5545.5,3891,1.7,2,97.9,75
940,8031004107,"Census Tract 41.07, Denver County, Colorado",8031004107,DENVER,9123,2772.9,6138,0.4,1.4,98.6,73.2
941,8031008388,"Census Tract 83.88, Denver County, Colorado",8031008388,DENVER,9583,2860.6,5860,10.1,23.5,76.4,20.5
942,8031001102,"Census Tract 11.02, Denver County, Colorado",8031001102,DENVER,3827,7503.9,2878,6,8.6,91.4,65.3
943,8031000600,"Census Tract 6, Denver County, Colorado",8031000600,DENVER,3248,6628.6,2649,12.3,24.2,75.7,46.7
944,8031004602,"Census Tract 46.02, Denver County, Colorado",8031004602,DENVER,7480,10108.1,4496,25.2,37.6,62.4,14.4
945,8031001702,"Census Tract 17.02, Denver County, Colorado",8031001702,DENVER,4107,9551.2,2994,0.5,4.3,95.7,72.2
946,8031008387,"Census Tract 83.87, Denver County, Colorado",8031008387,DENVER,7446,11113.4,4033,22,40.8,59.2,9.6
947,8031008312,"Census Tract 83.12, Denver County, Colorado",8031008312,DENVER,8139,8390.7,4699,13.7,27.4,72.7,10.4
948,8031015700,"Census Tract 157, Denver County, Colorado",8031015700,DENVER,5901,7285.2,3708,8.8,24.3,75.7,19.4
949,8031001902,"Census Tract 19.02, Denver County, Colorado",8031001902,DENVER,798,1227.7,92,0,0,100,53.3
950,8031004506,"Census Tract 45.06, Denver County, Colorado",8031004506,DENVER,4020,10864.9,2194,19.9,42.6,57.3,7.9
951,8031011902,"Census Tract 119.02, Denver County, Colorado",8031011902,DENVER,6415,6752.6,4639,2.5,11.7,88.3,32.8
952,8031005200,"Census Tract 52, Denver County, Colorado",8031005200,DENVER,3458,4269.1,2584,1.1,3.3,96.6,62.2
953,8031002100,"Census Tract 21, Denver County, Colorado",8031002100,DENVER,6136,4118.1,4636,4.7,13.8,86.3,57.5
954,8031000902,"Census Tract 9.02, Denver County, Colorado",8031000902,DENVER,6248,8677.8,3923,18,36.2,63.8,16.3
955,8031000904,"Census Tract 9.04, Denver County, Colorado",8031000904,DENVER,5179,10789.6,3194,21.2,40.4,59.6,12
956,8031008305,"Census Tract 83.05, Denver County, Colorado",8031008305,DENVER,4652,11630,2444,21.6,36,64.1,6.8
957,8031008304,"Census Tract 83.04, Denver County, Colorado",8031008304,DENVER,3850,10694.4,2099,18.8,30.9,69.1,14.6
958,8031007006,"Census Tract 70.06, Denver County, Colorado",8031007006,DENVER,4836,6908.6,3244,4.5,14.1,85.9,33
959,8031004505,"Census Tract 45.05, Denver County, Colorado",8031004505,DENVER,4747,12171.8,2555,19.3,42.2,57.9,6.9
960,8031004504,"Census Tract 45.04, Denver County, Colorado",8031004504,DENVER,4393,12551.4,2458,17.9,38.9,61.1,7.1
961,8031004503,"Census Tract 45.03, Denver County, Colorado",8031004503,DENVER,4232,10851.3,2396,15.5,32.2,67.8,12.1
962,8031004006,"Census Tract 40.06, Denver County, Colorado",8031004006,DENVER,4820,6426.7,3063,0.4,2.2,97.7,71.7
963,8031003001,"Census Tract 30.01, Denver County, Colorado",8031003001,DENVER,5722,6978,4620,0,1.5,98.5,75.2
964,8031001403,"Census Tract 14.03, Denver County, Colorado",8031001403,DENVER,3458,3087.5,2621,6.7,13.8,86.2,42.4
965,8031006813,"Census Tract 68.13, Denver County, Colorado",8031006813,DENVER,4267,10159.5,3331,2.7,10.1,89.8,40.5
966,8031006814,"Census Tract 68.14, Denver County, Colorado",8031006814,DENVER,4955,6117.3,3029,3.4,8.5,91.5,41.4
967,8031006811,"Census Tract 68.11, Denver County, Colorado",8031006811,DENVER,6345,7553.6,4827,0,1.6,98.4,50.2
968,8031007037,"Census Tract 70.37, Denver County, Colorado",8031007037,DENVER,4503,11257.5,2973,15.1,26.2,73.7,22.3
969,8031007088,"Census Tract 70.88, Denver County, Colorado",8031007088,DENVER,4904,5162.1,3784,3.4,7,93,45.2
970,8031007089,"Census Tract 70.89, Denver County, Colorado",8031007089,DENVER,5102,13426.3,4713,1.5,4.3,95.7,42.4
971,8005081800,"Census Tract 818, Arapahoe County, Colorado",8005081800,ARAPAHOE,5629,6864.6,3291,15.5,29.8,70.2,9.5
972,8005007500,"Census Tract 75, Arapahoe County, Colorado",8005007500,ARAPAHOE,2468,7478.8,1615,15.5,23.4,76.6,19.1
973,8005082300,"Census Tract 823, Arapahoe County, Colorado",8005082300,ARAPAHOE,3958,8245.8,2441,15.8,21.1,78.9,22.2
974,8005081600,"Census Tract 816, Arapahoe County, Colorado",8005081600,ARAPAHOE,4969,4106.6,3706,3.2,6.6,93.4,22.3
975,8005080700,"Census Tract 807, Arapahoe County, Colorado",8005080700,ARAPAHOE,5693,5809.2,3882,5.8,12.5,87.5,29.6
976,8005006808,"Census Tract 68.08, Arapahoe County, Colorado",8005006808,ARAPAHOE,5966,3977.3,3710,0.4,1.3,98.7,82.6
977,8005084600,"Census Tract 846, Arapahoe County, Colorado",8005084600,ARAPAHOE,5466,6832.5,3643,1.5,8.8,91.2,25.9
978,8005006711,"Census Tract 67.11, Arapahoe County, Colorado",8005006711,ARAPAHOE,4017,4017,2896,0.4,3.4,96.5,69.3
979,8005006815,"Census Tract 68.15, Arapahoe County, Colorado",8005006815,ARAPAHOE,4632,3765.9,3094,2.7,7.2,92.9,59.1
980,8005082600,"Census Tract 826, Arapahoe County, Colorado",8005082600,ARAPAHOE,5182,5182,3331,2.2,11.9,88.1,29
981,8005080200,"Census Tract 802, Arapahoe County, Colorado",8005080200,ARAPAHOE,6168,6168,4356,3.5,10.8,89.2,37.6
982,8041003801,"Census Tract 38.01, El Paso County, Colorado",8041003801,EL PASO,1997,196.7,957,1.5,2.5,97.5,30.3
983,8041005111,"Census Tract 51.11, El Paso County, Colorado",8041005111,EL PASO,8105,3667.4,4661,0.8,5.2,94.7,30.8
984,8041007101,"Census Tract 71.01, El Paso County, Colorado",8041007101,EL PASO,8451,1380.9,4828,1.6,2.1,97.9,59.6
985,8041007201,"Census Tract 72.01, El Paso County, Colorado",8041007201,EL PASO,9567,1434.3,5978,1.8,2.2,97.8,58.4
986,8041006901,"Census Tract 69.01, El Paso County, Colorado",8041006901,EL PASO,5337,6278.8,3216,1.2,2.2,97.8,51.6
987,8041006301,"Census Tract 63.01, El Paso County, Colorado",8041006301,EL PASO,4988,4988,3001,3.7,8.6,91.4,19.1
988,8041006302,"Census Tract 63.02, El Paso County, Colorado",8041006302,EL PASO,5605,8492.4,3046,6.5,15.9,84,21.2
989,8041005110,"Census Tract 51.10, El Paso County, Colorado",8041005110,EL PASO,4458,5715.4,2780,0.9,4,96,21.8
990,8041006801,"Census Tract 68.01, El Paso County, Colorado",8041006801,EL PASO,4198,5673,2695,0,4,96,40.5
991,8041006802,"Census Tract 68.02, El Paso County, Colorado",8041006802,EL PASO,3988,4923.5,2545,0.4,3.3,96.7,45.2
992,8041004601,"Census Tract 46.01, El Paso County, Colorado",8041004601,EL PASO,3769,52.6,2742,0.4,3.3,96.7,20.8
993,8041004511,"Census Tract 45.11, El Paso County, Colorado",8041004511,EL PASO,7297,113,4663,2.9,9.1,90.8,15
994,8041004602,"Census Tract 46.02, El Paso County, Colorado",8041004602,EL PASO,4151,6,2858,3,9.9,90.2,19.1
995,8041007601,"Census Tract 76.01, El Paso County, Colorado",8041007601,EL PASO,7585,389.4,5051,0.4,2,98,47.1
996,8041007602,"Census Tract 76.02, El Paso County, Colorado",8041007602,EL PASO,3482,136,2587,2.1,6.4,93.6,44.8
997,8041007202,"Census Tract 72.02, El Paso County, Colorado",8041007202,EL PASO,9296,1611.1,6191,0.8,3.5,96.5,61.9
998,8041003802,"Census Tract 38.02, El Paso County, Colorado",8041003802,EL PASO,4101,218.8,55,0,0,100,0
999,8041003307,"Census Tract 33.07, El Paso County, Colorado",8041003307,EL PASO,3351,3942.4,2245,4.1,8.2,91.8,33.9
1000,8041003400,"Census Tract 34, El Paso County, Colorado",8041003400,EL PASO,3517,45.3,2795,0.1,3.2,96.8,40.6
1001,8041006700,"Census Tract 67, El Paso County, Colorado",8041006700,EL PASO,5718,991,4454,0.8,5,95,48
1002,8041003701,"Census Tract 37.01, El Paso County, Colorado",8041003701,EL PASO,8038,75.1,5425,4.5,6.4,93.5,45.3
1003,8041004100,"Census Tract 41, El Paso County, Colorado",8041004100,EL PASO,4997,5205.2,3333,1.7,5.2,94.9,11.1
1004,8041004200,"Census Tract 42, El Paso County, Colorado",8041004200,EL PASO,3965,5286.7,2690,1.3,5,95,17.4
1005,8041004508,"Census Tract 45.08, El Paso County, Colorado",8041004508,EL PASO,7054,1901.3,4373,0.3,7.3,92.7,15.3
1006,8041004507,"Census Tract 45.07, El Paso County, Colorado",8041004507,EL PASO,3327,3824.1,2178,2.3,9.5,90.5,20.7
1007,8041004506,"Census Tract 45.06, El Paso County, Colorado",8041004506,EL PASO,4998,4805.8,3258,3.7,12.4,87.6,13.6
1008,8041004300,"Census Tract 43, El Paso County, Colorado",8041004300,EL PASO,6906,2807.3,4187,2.6,12.5,87.5,30.2
1009,8041005000,"Census Tract 50, El Paso County, Colorado",8041005000,EL PASO,5413,2879.3,3540,0.7,10.3,89.6,20.8
1010,8041006200,"Census Tract 62, El Paso County, Colorado",8041006200,EL PASO,5468,3933.8,3079,11,21.3,78.7,10.1
1011,8041006100,"Census Tract 61, El Paso County, Colorado",8041006100,EL PASO,4184,8046.2,2246,4.7,19.7,80.4,11.4
1012,8041006000,"Census Tract 60, El Paso County, Colorado",8041006000,EL PASO,6682,4367.3,4293,5.1,15.8,84.2,9.9
1013,8041005900,"Census Tract 59, El Paso County, Colorado",8041005900,EL PASO,6838,2814,4660,0,3.3,96.7,29.5
1014,8041005800,"Census Tract 58, El Paso County, Colorado",8041005800,EL PASO,3084,5507.1,2247,1.1,2.7,97.4,32.4
1015,8041005700,"Census Tract 57, El Paso County, Colorado",8041005700,EL PASO,6167,5096.7,4054,2.3,5.5,94.5,28.9
1016,8041005602,"Census Tract 56.02, El Paso County, Colorado",8041005602,EL PASO,3183,5683.9,2274,2.6,6.5,93.5,34.8
1017,8041004703,"Census Tract 47.03, El Paso County, Colorado",8041004703,EL PASO,6008,6750.6,4085,0.6,2.5,97.5,43.6
1018,8041004009,"Census Tract 40.09, El Paso County, Colorado",8041004009,EL PASO,1877,10427.8,1052,4.2,15.8,84.2,11.9
1019,8041005202,"Census Tract 52.02, El Paso County, Colorado",8041005202,EL PASO,2710,6948.7,1738,2.2,10,90,12.9
1020,8041003905,"Census Tract 39.05, El Paso County, Colorado",8041003905,EL PASO,3600,1690.1,2514,0,0.8,99.2,42.3
1021,8041003706,"Census Tract 37.06, El Paso County, Colorado",8041003706,EL PASO,4491,4236.8,3174,1,1.9,98,62.8
1022,8041003705,"Census Tract 37.05, El Paso County, Colorado",8041003705,EL PASO,5718,1374.5,3902,1,1.4,98.6,68.4
1023,8041003000,"Census Tract 30, El Paso County, Colorado",8041003000,EL PASO,4450,3503.9,3290,5,9.1,91,36.8
1024,8041003303,"Census Tract 33.03, El Paso County, Colorado",8041003303,EL PASO,5819,2866.5,3723,1.9,10.1,89.9,23.8
1025,8041004503,"Census Tract 45.03, El Paso County, Colorado",8041004503,EL PASO,14728,1881,8250,1,3.8,96.3,26
1026,8041002900,"Census Tract 29, El Paso County, Colorado",8041002900,EL PASO,5755,4918.8,3580,8.2,17.8,82.2,16.7
1027,8041002000,"Census Tract 20, El Paso County, Colorado",8041002000,EL PASO,6999,5262.4,4523,4.2,13.1,86.9,16.8
1028,8041004502,"Census Tract 45.02, El Paso County, Colorado",8041004502,EL PASO,6000,1432,3846,1.2,4.8,95.2,30.2
1029,8041001900,"Census Tract 19, El Paso County, Colorado",8041001900,EL PASO,4654,7051.5,3212,4.1,14.8,85.2,13.1
1030,8041001800,"Census Tract 18, El Paso County, Colorado",8041001800,EL PASO,1952,3983.7,1518,0,2.1,97.9,56.3
1031,8041001700,"Census Tract 17, El Paso County, Colorado",8041001700,EL PASO,1922,6406.7,1318,1.4,9.3,90.7,41.6
1032,8041001600,"Census Tract 16, El Paso County, Colorado",8041001600,EL PASO,3496,5731.1,1275,1.6,2.9,97.1,59.8
1033,8041001500,"Census Tract 15, El Paso County, Colorado",8041001500,EL PASO,2083,3063.2,1675,2.4,6.5,93.6,22.8
1034,8041003906,"Census Tract 39.06, El Paso County, Colorado",8041003906,EL PASO,6493,3399.5,4521,0.6,2.7,97.4,51.8
1035,8041001101,"Census Tract 11.01, El Paso County, Colorado",8041001101,EL PASO,1483,3026.5,1146,2.4,8,92.1,31.2
1036,8041001000,"Census Tract 10, El Paso County, Colorado",8041001000,EL PASO,2453,3227.6,1795,0.8,2.6,97.4,74.6
1037,8041000900,"Census Tract 9, El Paso County, Colorado",8041000900,EL PASO,2229,5436.6,1678,0.1,2.2,97.8,63.5
1038,8041005109,"Census Tract 51.09, El Paso County, Colorado",8041005109,EL PASO,7553,4267.2,5124,1.6,4.2,95.8,44.3
1039,8041005105,"Census Tract 51.05, El Paso County, Colorado",8041005105,EL PASO,7448,6650,4243,2.2,7.1,92.8,33.3
1040,8041005107,"Census Tract 51.07, El Paso County, Colorado",8041005107,EL PASO,8880,4988.8,5529,1,2,98,44.8
1041,8041007102,"Census Tract 71.02, El Paso County, Colorado",8041007102,EL PASO,9284,3363.8,5741,0.6,1.1,98.9,65
1042,8041004705,"Census Tract 47.05, El Paso County, Colorado",8041004705,EL PASO,8124,6943.6,5084,1.3,3.4,96.5,43.1
1043,8041005106,"Census Tract 51.06, El Paso County, Colorado",8041005106,EL PASO,10100,4316.2,6254,0.6,3.5,96.5,41.8
1044,8041004706,"Census Tract 47.06, El Paso County, Colorado",8041004706,EL PASO,5143,3174.7,3263,0.6,1.2,98.8,57.3
1045,8041006902,"Census Tract 69.02, El Paso County, Colorado",8041006902,EL PASO,5099,5311.5,3034,0,0.5,99.5,53.6
1046,8041004603,"Census Tract 46.03, El Paso County, Colorado",8041004603,EL PASO,6758,46.2,4128,3.1,7.1,92.9,22.5
1047,8041004510,"Census Tract 45.10, El Paso County, Colorado",8041004510,EL PASO,9617,1726.6,5742,0.8,2.5,97.5,33.8
1048,8041005108,"Census Tract 51.08, El Paso County, Colorado",8041005108,EL PASO,9192,3767.2,5818,0,5.3,94.7,36.6
1049,8041003308,"Census Tract 33.08, El Paso County, Colorado",8041003308,EL PASO,5706,8778.5,3403,1.1,3.8,96.2,44.9
1050,8041003305,"Census Tract 33.05, El Paso County, Colorado",8041003305,EL PASO,6950,1349.5,5001,0.5,2.5,97.5,68.3
1051,8041004401,"Census Tract 44.01, El Paso County, Colorado",8041004401,EL PASO,9335,3153.7,3834,0.6,2.6,97.5,18.2
1052,8041004403,"Census Tract 44.03, El Paso County, Colorado",8041004403,EL PASO,1344,10.9,441,0.9,1.8,98.2,19.7
1053,8041004402,"Census Tract 44.02, El Paso County, Colorado",8041004402,EL PASO,5680,913.2,1112,0,0.3,99.7,16
1054,8041003306,"Census Tract 33.06, El Paso County, Colorado",8041003306,EL PASO,3309,50.8,2358,3,9.1,91,42
1055,8041005104,"Census Tract 51.04, El Paso County, Colorado",8041005104,EL PASO,9055,177.7,5769,0.9,5.5,94.5,42.6
1056,8041005502,"Census Tract 55.02, El Paso County, Colorado",8041005502,EL PASO,4654,6554.9,2952,0,5,95,20.8
1057,8041004702,"Census Tract 47.02, El Paso County, Colorado",8041004702,EL PASO,2342,6005.1,1467,3.8,8.6,91.4,32.4
1058,8041000101,"Census Tract 1.01, El Paso County, Colorado",8041000101,EL PASO,6094,2308.3,4477,0.5,3.9,96,36.7
1059,8041008000,"Census Tract 80, El Paso County, Colorado",8041008000,EL PASO,4230,3916.7,2875,0.8,3.3,96.7,33.4
1060,8041003709,"Census Tract 37.09, El Paso County, Colorado",8041003709,EL PASO,6305,1976.5,4433,0.8,3.1,96.9,52.7
1061,8041007400,"Census Tract 74, El Paso County, Colorado",8041007400,EL PASO,8843,738.1,6157,0,0.6,99.4,66.8
1062,8041003707,"Census Tract 37.07, El Paso County, Colorado",8041003707,EL PASO,3854,1227.4,2728,0,0.8,99.2,55.5
1063,8041003708,"Census Tract 37.08, El Paso County, Colorado",8041003708,EL PASO,2754,2257.4,1991,0.5,1.9,98.2,62.7
1064,8041006502,"Census Tract 65.02, El Paso County, Colorado",8041006502,EL PASO,7035,6965.3,4177,1.2,12.6,87.4,15.5
1065,8041006600,"Census Tract 66, El Paso County, Colorado",8041006600,EL PASO,2436,2511.3,1996,0,3.8,96.2,42.9
1066,8041006501,"Census Tract 65.01, El Paso County, Colorado",8041006501,EL PASO,3868,6139.7,2153,10.7,22.5,77.5,13.8
1067,8041006400,"Census Tract 64, El Paso County, Colorado",8041006400,EL PASO,7387,5862.7,4148,4,13.8,86.2,15
1068,8041005601,"Census Tract 56.01, El Paso County, Colorado",8041005601,EL PASO,5090,5193.9,3583,1.5,4.7,95.3,32.9
1069,8041005400,"Census Tract 54, El Paso County, Colorado",8041005400,EL PASO,5985,5490.8,3330,8,15.4,84.6,10.6
1070,8041005300,"Census Tract 53, El Paso County, Colorado",8041005300,EL PASO,4780,8241.4,2743,8.2,19.5,80.5,17.7
1071,8041005201,"Census Tract 52.01, El Paso County, Colorado",8041005201,EL PASO,4544,7212.7,3013,12.6,21.3,78.7,11.7
1072,8041004800,"Census Tract 48, El Paso County, Colorado",8041004800,EL PASO,4785,5145.2,3185,1.8,7,93,30.5
1073,8041002700,"Census Tract 27, El Paso County, Colorado",8041002700,EL PASO,3323,4052.4,2388,3.6,16,84.1,27.4
1074,8041002501,"Census Tract 25.01, El Paso County, Colorado",8041002501,EL PASO,3415,597,2618,0.9,2.8,97.2,61.7
1075,8041002502,"Census Tract 25.02, El Paso County, Colorado",8041002502,EL PASO,4397,2911.9,2999,2.1,4,96,47
1076,8041002400,"Census Tract 24, El Paso County, Colorado",8041002400,EL PASO,5496,3435,4086,2.6,8.2,91.8,35.4
1077,8041002200,"Census Tract 22, El Paso County, Colorado",8041002200,EL PASO,2813,4198.5,2047,3.4,9.1,90.9,32.5
1078,8041002102,"Census Tract 21.02, El Paso County, Colorado",8041002102,EL PASO,4666,4619.8,2946,4.3,12.6,87.3,20.8
1079,8041003100,"Census Tract 31, El Paso County, Colorado",8041003100,EL PASO,4321,993.3,3353,1.4,7.7,92.4,65.1
1080,8041002101,"Census Tract 21.01, El Paso County, Colorado",8041002101,EL PASO,3839,3656.2,2695,5.7,14,86,21.8
1081,8041001400,"Census Tract 14, El Paso County, Colorado",8041001400,EL PASO,3470,4565.8,2695,3,7.2,92.8,40.3
1082,8041001302,"Census Tract 13.02, El Paso County, Colorado",8041001302,EL PASO,5131,4348.3,3885,5,12.4,87.6,32.2
1083,8041001104,"Census Tract 11.04, El Paso County, Colorado",8041001104,EL PASO,3131,1909.1,2246,1.7,5,95.1,29
1084,8041000800,"Census Tract 8, El Paso County, Colorado",8041000800,EL PASO,2984,3469.8,2096,0,1.4,98.6,32.3
1085,8041000700,"Census Tract 7, El Paso County, Colorado",8041000700,EL PASO,3376,5358.7,2258,1.4,4.3,95.7,23.7
1086,8041000600,"Census Tract 6, El Paso County, Colorado",8041000600,EL PASO,3176,4812.1,2217,1.8,5.3,94.7,35.8
1087,8041000500,"Census Tract 5, El Paso County, Colorado",8041000500,EL PASO,2268,4361.5,1724,3,8.4,91.6,42.3
1088,8041000400,"Census Tract 4, El Paso County, Colorado",8041000400,EL PASO,2163,3277.3,1629,0,7.4,92.6,31.6
1089,8041007800,"Census Tract 78, El Paso County, Colorado",8041007800,EL PASO,5060,2505,2827,0.3,1,99,42.3
1090,8041000302,"Census Tract 3.02, El Paso County, Colorado",8041000302,EL PASO,5179,2375.7,3350,4.3,15,85,16.4
1091,8041007700,"Census Tract 77, El Paso County, Colorado",8041007700,EL PASO,5833,2514.2,4167,0.4,2.2,97.8,42.2
1092,8005083500,"Census Tract 835, Arapahoe County, Colorado",8005083500,ARAPAHOE,6234,8539.7,3874,2.7,5.8,94.2,30.2
1093,8005082800,"Census Tract 828, Arapahoe County, Colorado",8005082800,ARAPAHOE,4834,6360.5,3496,4.7,10.2,89.8,25.8
1094,8005082400,"Census Tract 824, Arapahoe County, Colorado",8005082400,ARAPAHOE,4267,5401.3,2759,3.8,12.4,87.6,25.1
1095,8005005630,"Census Tract 56.30, Arapahoe County, Colorado",8005005630,ARAPAHOE,5783,5783,4102,0.7,1.4,98.6,61.1
1096,8005005631,"Census Tract 56.31, Arapahoe County, Colorado",8005005631,ARAPAHOE,3438,5289.2,2543,0.4,1.4,98.6,59.7
1097,8005005628,"Census Tract 56.28, Arapahoe County, Colorado",8005005628,ARAPAHOE,5787,5845.5,4314,1.4,2.2,97.8,53.2
1098,8005005632,"Census Tract 56.32, Arapahoe County, Colorado",8005005632,ARAPAHOE,3267,3843.5,2376,1.3,3.7,96.3,62.3
1099,8005005629,"Census Tract 56.29, Arapahoe County, Colorado",8005005629,ARAPAHOE,2555,2580.8,1667,0,0,100,80.8
1100,8005084400,"Census Tract 844, Arapahoe County, Colorado",8005084400,ARAPAHOE,3098,7556.1,2033,1.4,9,91,33.1
1101,8055960900,"Census Tract 9609, Huerfano County, Colorado",8055960900,HUERFANO,3302,2.1,2725,2,5.7,94.3,29.7
1102,8055960600,"Census Tract 9606, Huerfano County, Colorado",8055960600,HUERFANO,3196,76.2,2417,5.6,13.8,86.2,16.8
1103,8005005624,"Census Tract 56.24, Arapahoe County, Colorado",8005005624,ARAPAHOE,2631,3416.9,1844,0.7,2.3,97.7,56.3
1104,8005005627,"Census Tract 56.27, Arapahoe County, Colorado",8005005627,ARAPAHOE,4686,4686,3430,0.3,1.3,98.7,68.4
