OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Population_Total,Population_Density_PerLandSquareMile,Percent_Poverty_AllPeople_Income_Below_Pov_Level,Poverty_Median_Household_Income,Poverty_Mean_Household_Income,Poverty_Per_Capita_Income
896,08031003603,"Census Tract 36.03, Denver County, Colorado",08031003603,DENVER,3245,4269.7,13.2,67375,90002,41509
897,08031003002,"Census Tract 30.02, Denver County, Colorado",08031003002,DENVER,2498,4460.7,8.7,82959,101332,53643
898,08031003500,"Census Tract 35, Denver County, Colorado",08031003500,DENVER,6687,2562.1,20.3,45943,57931,17508
899,08031003602,"Census Tract 36.02, Denver County, Colorado",08031003602,DENVER,4253,5523.4,25.2,45420,67831,27359
900,08031002300,"Census Tract 23, Denver County, Colorado",08031002300,DENVER,5801,10358.9,15.7,74611,86615,35019
901,08031003601,"Census Tract 36.01, Denver County, Colorado",08031003601,DENVER,4775,9362.7,25.3,48700,65751,26258
902,08031002702,"Census Tract 27.02, Denver County, Colorado",08031002702,DENVER,5913,23652,14.6,56434,71847,49786
903,08031002701,"Census Tract 27.01, Denver County, Colorado",08031002701,DENVER,4721,21459.1,18.5,38193,50407,38691
904,08031002601,"Census Tract 26.01, Denver County, Colorado",08031002601,DENVER,3316,16580,21,48153,61578,45172
905,08031002403,"Census Tract 24.03, Denver County, Colorado",08031002403,DENVER,3685,10236.1,31,43447,67503,39964
906,08031002000,"Census Tract 20, Denver County, Colorado",08031002000,DENVER,1962,6540,12.3,79365,107844,72673
907,08031001800,"Census Tract 18, Denver County, Colorado",08031001800,DENVER,3417,8992.1,29.1,47576,57145,30848
908,08031001701,"Census Tract 17.01, Denver County, Colorado",08031001701,DENVER,5878,13359.1,15.5,95921,138445,93564
909,08031001600,"Census Tract 16, Denver County, Colorado",08031001600,DENVER,10639,8579.8,16.7,74471,97340,49593
910,08031008306,"Census Tract 83.06, Denver County, Colorado",08031008306,DENVER,6830,12886.8,23.4,43182,50956,15232
911,08031001500,"Census Tract 15, Denver County, Colorado",08031001500,DENVER,4225,2041.1,33.9,39808,46226,14745
912,08031001101,"Census Tract 11.01, Denver County, Colorado",08031001101,DENVER,2626,7502.9,22,49602,67104,26874
913,08031000402,"Census Tract 4.02, Denver County, Colorado",08031000402,DENVER,5174,8084.4,9,83011,105461,62341
914,08031000401,"Census Tract 4.01, Denver County, Colorado",08031000401,DENVER,3428,9021.1,15.2,60341,77747,33636
915,08031000800,"Census Tract 8, Denver County, Colorado",08031000800,DENVER,1441,2251.6,80.6,9578,14461,4854
916,08031000701,"Census Tract 7.01, Denver County, Colorado",08031000701,DENVER,4351,9458.7,23,30610,54182,26653
917,08031000502,"Census Tract 5.02, Denver County, Colorado",08031000502,DENVER,5916,9541.9,20.4,52042,90400,44243
918,08031000303,"Census Tract 3.03, Denver County, Colorado",08031000303,DENVER,4426,7764.9,12,88014,136544,70102
920,08031015500,"Census Tract 155, Denver County, Colorado",08031015500,DENVER,3794,15808.3,15.2,49918,58539,29577
921,08031000501,"Census Tract 5.01, Denver County, Colorado",08031000501,DENVER,2018,3956.9,5.9,108152,129318,62830
922,08031000302,"Census Tract 3.02, Denver County, Colorado",08031000302,DENVER,4573,8166.1,9.8,90202,123993,57503
923,08031000202,"Census Tract 2.02, Denver County, Colorado",08031000202,DENVER,3994,5873.5,22.3,52946,67871,30298
924,08031000102,"Census Tract 1.02, Denver County, Colorado",08031000102,DENVER,3456,5316.9,9.9,84211,106831,50481
