OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Population_Total,Population_Density_PerLandSquareMile,Percent_Poverty_AllPeople_Income_Below_Pov_Level,Poverty_Median_Household_Income,Poverty_Mean_Household_Income,Poverty_Per_Capita_Income
1068,08041005601,"Census Tract 56.01, El Paso County, Colorado",08041005601,EL PASO,5090,5193.9,5.7,61290,81365,32934
1069,08041005400,"Census Tract 54, El Paso County, Colorado",08041005400,EL PASO,5985,5490.8,34.9,27026,40164,14318
1070,08041005300,"Census Tract 53, El Paso County, Colorado",08041005300,EL PASO,4780,8241.4,27.9,39979,47780,17585
1071,08041005201,"Census Tract 52.01, El Paso County, Colorado",08041005201,EL PASO,4544,7212.7,32.7,30777,38204,16379
1072,08041004800,"Census Tract 48, El Paso County, Colorado",08041004800,EL PASO,4785,5145.2,11.6,56423,72961,28980
1073,08041002700,"Census Tract 27, El Paso County, Colorado",08041002700,EL PASO,3323,4052.4,24.3,32794,50196,24447
1074,08041002501,"Census Tract 25.01, El Paso County, Colorado",08041002501,EL PASO,3415,597,6.5,97151,137941,59928
1075,08041002502,"Census Tract 25.02, El Paso County, Colorado",08041002502,EL PASO,4397,2911.9,8.5,51451,71952,33674
1076,08041002400,"Census Tract 24, El Paso County, Colorado",08041002400,EL PASO,5496,3435,11.7,49950,58079,28517
1077,08041002200,"Census Tract 22, El Paso County, Colorado",08041002200,EL PASO,2813,4198.5,14.8,34870,47685,23156
1078,08041002102,"Census Tract 21.02, El Paso County, Colorado",08041002102,EL PASO,4666,4619.8,19.2,43390,47891,19041
1079,08041003100,"Census Tract 31, El Paso County, Colorado",08041003100,EL PASO,4321,993.3,6.4,102868,167989,71652
1080,08041002101,"Census Tract 21.01, El Paso County, Colorado",08041002101,EL PASO,3839,3656.2,19.5,43112,45528,22790
1081,08041001400,"Census Tract 14, El Paso County, Colorado",08041001400,EL PASO,3470,4565.8,13.8,47079,60610,29478
1082,08041001302,"Census Tract 13.02, El Paso County, Colorado",08041001302,EL PASO,5131,4348.3,16,42901,61492,30720
1083,08041001104,"Census Tract 11.04, El Paso County, Colorado",08041001104,EL PASO,3131,1909.1,13.5,44471,56257,27915
1084,08041000800,"Census Tract 8, El Paso County, Colorado",08041000800,EL PASO,2984,3469.8,10,45192,64223,30129
1085,08041000700,"Census Tract 7, El Paso County, Colorado",08041000700,EL PASO,3376,5358.7,18.5,38814,51437,23788
1086,08041000600,"Census Tract 6, El Paso County, Colorado",08041000600,EL PASO,3176,4812.1,10.5,53850,63894,27430
1087,08041000500,"Census Tract 5, El Paso County, Colorado",08041000500,EL PASO,2268,4361.5,16.1,56875,66864,29764
1088,08041000400,"Census Tract 4, El Paso County, Colorado",08041000400,EL PASO,2163,3277.3,12.2,51821,55729,28066
1089,08041007800,"Census Tract 78, El Paso County, Colorado",08041007800,EL PASO,5060,2505,12.9,56728,83952,30839
1090,08041000302,"Census Tract 3.02, El Paso County, Colorado",08041000302,EL PASO,5179,2375.7,26.6,34342,39116,15780
1091,08041007700,"Census Tract 77, El Paso County, Colorado",08041007700,EL PASO,5833,2514.2,8.5,51734,77499,38209
1092,08005083500,"Census Tract 835, Arapahoe County, Colorado",08005083500,ARAPAHOE,6234,8539.7,16.1,59500,77560,28161
1093,08005082800,"Census Tract 828, Arapahoe County, Colorado",08005082800,ARAPAHOE,4834,6360.5,7,66556,72374,28619
1094,08005082400,"Census Tract 824, Arapahoe County, Colorado",08005082400,ARAPAHOE,4267,5401.3,16.9,59236,71864,26364
1095,08005005630,"Census Tract 56.30, Arapahoe County, Colorado",08005005630,ARAPAHOE,5783,5783,2.6,100417,125012,47967
1096,08005005631,"Census Tract 56.31, Arapahoe County, Colorado",08005005631,ARAPAHOE,3438,5289.2,2.2,102477,123145,46298
1097,08005005628,"Census Tract 56.28, Arapahoe County, Colorado",08005005628,ARAPAHOE,5787,5845.5,3.9,81699,95994,39556
1098,08005005632,"Census Tract 56.32, Arapahoe County, Colorado",08005005632,ARAPAHOE,3267,3843.5,4.9,112978,126504,46880
1099,08005005629,"Census Tract 56.29, Arapahoe County, Colorado",08005005629,ARAPAHOE,2555,2580.8,2.9,157500,197582,64882
1100,08005084400,"Census Tract 844, Arapahoe County, Colorado",08005084400,ARAPAHOE,3098,7556.1,12.7,71627,81720,28275
1101,08055960900,"Census Tract 9609, Huerfano County, Colorado",08055960900,HUERFANO,3302,2.1,10.5,44853,62760,31391
1102,08055960600,"Census Tract 9606, Huerfano County, Colorado",08055960600,HUERFANO,3196,76.2,19.2,27279,39963,19510
1103,08005005624,"Census Tract 56.24, Arapahoe County, Colorado",08005005624,ARAPAHOE,2631,3416.9,2.4,116875,136290,45484
1104,08005005627,"Census Tract 56.27, Arapahoe County, Colorado",08005005627,ARAPAHOE,4686,4686,4.8,104137,125591,49990
1105,08005005614,"Census Tract 56.14, Arapahoe County, Colorado",08005005614,ARAPAHOE,3270,3633.3,2.5,89128,92360,37958
1106,08005006707,"Census Tract 67.07, Arapahoe County, Colorado",08005006707,ARAPAHOE,5258,4206.4,12.1,95333,112812,40914
1107,08005006708,"Census Tract 67.08, Arapahoe County, Colorado",08005006708,ARAPAHOE,5062,5062,3.2,106438,136470,53714
1108,08005006604,"Census Tract 66.04, Arapahoe County, Colorado",08005006604,ARAPAHOE,4582,6276.7,12.5,51156,70557,31293
1109,08005006603,"Census Tract 66.03, Arapahoe County, Colorado",08005006603,ARAPAHOE,3393,4712.5,11.8,78790,91302,38942
1110,08005006705,"Census Tract 67.05, Arapahoe County, Colorado",08005006705,ARAPAHOE,2041,1046.7,2.4,211500,370179,116965
1111,08005006601,"Census Tract 66.01, Arapahoe County, Colorado",08005006601,ARAPAHOE,5531,7374.7,9.5,41835,62929,30363
1112,08005005621,"Census Tract 56.21, Arapahoe County, Colorado",08005005621,ARAPAHOE,3034,3034,3.7,115473,154182,62891
1113,08005005625,"Census Tract 56.25, Arapahoe County, Colorado",08005005625,ARAPAHOE,3103,4309.7,13,76607,84517,34429
1114,08005006704,"Census Tract 67.04, Arapahoe County, Colorado",08005006704,ARAPAHOE,4501,1056.6,2.3,,404561,136284
1115,08005005620,"Census Tract 56.20, Arapahoe County, Colorado",08005005620,ARAPAHOE,2905,7644.7,6.4,55480,63733,37833
1116,08005006709,"Census Tract 67.09, Arapahoe County, Colorado",08005006709,ARAPAHOE,5495,3392,1.9,115956,140929,56471
1117,08005005619,"Census Tract 56.19, Arapahoe County, Colorado",08005005619,ARAPAHOE,4655,3145.3,5.4,88401,123096,48830
1118,08005005633,"Census Tract 56.33, Arapahoe County, Colorado",08005005633,ARAPAHOE,3109,4145.3,2.7,103958,138817,60476
1119,08005081700,"Census Tract 817, Arapahoe County, Colorado",08005081700,ARAPAHOE,2946,4149.3,2.4,130250,146645,49501
1120,08005015100,"Census Tract 151, Arapahoe County, Colorado",08005015100,ARAPAHOE,2797,4907,6,117917,126110,49558
1121,08005083900,"Census Tract 839, Arapahoe County, Colorado",08005083900,ARAPAHOE,2840,5358.5,6.7,60349,71623,38018
1122,08005082900,"Census Tract 829, Arapahoe County, Colorado",08005082900,ARAPAHOE,4776,4682.4,7.1,69018,81791,29743
1123,08005087300,"Census Tract 873, Arapahoe County, Colorado",08005087300,ARAPAHOE,8384,9981,11.5,57171,99571,38897
1124,08005086900,"Census Tract 869, Arapahoe County, Colorado",08005086900,ARAPAHOE,3043,10867.9,24.1,52783,57633,26827
1125,08005087100,"Census Tract 871, Arapahoe County, Colorado",08005087100,ARAPAHOE,2713,7139.5,18.8,39457,47953,23504
1126,08005007301,"Census Tract 73.01, Arapahoe County, Colorado",08005007301,ARAPAHOE,2485,7530.3,19.4,37092,46699,18268
1127,08005006100,"Census Tract 61, Arapahoe County, Colorado",08005006100,ARAPAHOE,2962,6731.8,24.7,50833,63958,32937
1128,08005006300,"Census Tract 63, Arapahoe County, Colorado",08005006300,ARAPAHOE,2611,5222,12.9,63667,81238,36249
1129,08005006706,"Census Tract 67.06, Arapahoe County, Colorado",08005006706,ARAPAHOE,5134,5901.1,4.2,102500,146751,59317
1130,08005006200,"Census Tract 62, Arapahoe County, Colorado",08005006200,ARAPAHOE,3305,3442.7,11.7,62578,77800,32053
1131,08005005952,"Census Tract 59.52, Arapahoe County, Colorado",08005005952,ARAPAHOE,3692,9466.7,12,56544,97397,44628
1132,08005005951,"Census Tract 59.51, Arapahoe County, Colorado",08005005951,ARAPAHOE,4303,7823.6,28,36712,50118,29593
1133,08005005800,"Census Tract 58, Arapahoe County, Colorado",08005005800,ARAPAHOE,2633,5602.1,4.6,72372,100836,46136
1134,08005005612,"Census Tract 56.12, Arapahoe County, Colorado",08005005612,ARAPAHOE,3828,2552,3.8,80759,188137,78093
1135,08005006400,"Census Tract 64, Arapahoe County, Colorado",08005006400,ARAPAHOE,3395,3772.2,14.6,56976,75170,29934
1136,08005006000,"Census Tract 60, Arapahoe County, Colorado",08005006000,ARAPAHOE,2626,2652.5,10.1,48111,61651,32595
1137,08041000301,"Census Tract 3.01, El Paso County, Colorado",08041000301,EL PASO,3211,4522.5,17.4,41601,51812,23672
1138,08041000203,"Census Tract 2.03, El Paso County, Colorado",08041000203,EL PASO,4289,4164.1,19.6,46250,59061,25637
1139,08005080500,"Census Tract 805, Arapahoe County, Colorado",08005080500,ARAPAHOE,3593,7332.7,8.7,60819,69902,34080
1140,08005083000,"Census Tract 830, Arapahoe County, Colorado",08005083000,ARAPAHOE,3563,899.7,5.6,100325,108788,36468
1141,08005083200,"Census Tract 832, Arapahoe County, Colorado",08005083200,ARAPAHOE,9092,4591.9,2.5,106971,111982,34616
1142,08005085900,"Census Tract 859, Arapahoe County, Colorado",08005085900,ARAPAHOE,4875,2693.4,3.1,105500,122040,37925
1143,08005006855,"Census Tract 68.55, Arapahoe County, Colorado",08005006855,ARAPAHOE,5667,1876.5,5.5,109000,170931,58377
1144,08005086400,"Census Tract 864, Arapahoe County, Colorado",08005086400,ARAPAHOE,2103,674,1.7,162500,200129,70595
1145,08005086700,"Census Tract 867, Arapahoe County, Colorado",08005086700,ARAPAHOE,4735,2014.9,2.9,145156,172701,49909
1146,08005007103,"Census Tract 71.03, Arapahoe County, Colorado",08005007103,ARAPAHOE,1585,24.8,1,106650,116346,42590
1147,08005005700,"Census Tract 57, Arapahoe County, Colorado",08005005700,ARAPAHOE,3634,4129.5,20.1,49375,71919,34575
1148,08005005622,"Census Tract 56.22, Arapahoe County, Colorado",08005005622,ARAPAHOE,2421,1048.1,0.9,101625,202280,81929
1149,08005005611,"Census Tract 56.11, Arapahoe County, Colorado",08005005611,ARAPAHOE,5014,3234.8,9.7,72548,100347,39866
1150,08005007400,"Census Tract 74, Arapahoe County, Colorado",08005007400,ARAPAHOE,5487,7316,15.7,48239,60623,18760
1151,08005005553,"Census Tract 55.53, Arapahoe County, Colorado",08005005553,ARAPAHOE,3972,4271,15.2,54657,64261,25017
1152,08005005626,"Census Tract 56.26, Arapahoe County, Colorado",08005005626,ARAPAHOE,3635,4660.3,8.3,59243,73769,33714
1153,08005007600,"Census Tract 76, Arapahoe County, Colorado",08005007600,ARAPAHOE,3646,7149,23.5,38262,50846,17560
1154,08041000202,"Census Tract 2.02, El Paso County, Colorado",08041000202,EL PASO,4577,4317.9,18.3,57806,68545,27483
1155,08041007900,"Census Tract 79, El Paso County, Colorado",08041007900,EL PASO,2519,1071.9,3.7,91750,125586,65304
1156,08041000102,"Census Tract 1.02, El Paso County, Colorado",08041000102,EL PASO,3599,5712.7,9.4,65464,71749,26581
1157,08041004701,"Census Tract 47.01, El Paso County, Colorado",08041004701,EL PASO,5057,5746.6,6.1,66250,74577,28271
1158,08041005501,"Census Tract 55.01, El Paso County, Colorado",08041005501,EL PASO,4700,3587.8,9.8,62755,78211,31476
1159,08041004901,"Census Tract 49.01, El Paso County, Colorado",08041004901,EL PASO,3813,5777.3,8.3,55192,66302,25819
1160,08041004902,"Census Tract 49.02, El Paso County, Colorado",08041004902,EL PASO,5978,3783.5,5.2,89464,113171,41110
1161,08041004501,"Census Tract 45.01, El Paso County, Colorado",08041004501,EL PASO,4729,902.5,20.8,43415,54587,19144
1162,08041004008,"Census Tract 40.08, El Paso County, Colorado",08041004008,EL PASO,3030,195.6,9.5,67500,73686,21681
1163,08041007000,"Census Tract 70, El Paso County, Colorado",08041007000,EL PASO,4060,2000,3.3,120417,135877,46774
1164,08041003702,"Census Tract 37.02, El Paso County, Colorado",08041003702,EL PASO,5087,2518.3,5.2,109884,128549,49277
1165,08041002800,"Census Tract 28, El Paso County, Colorado",08041002800,EL PASO,6113,2144.9,14.6,43716,60757,27572
1166,08041001301,"Census Tract 13.01, El Paso County, Colorado",08041001301,EL PASO,2143,4202,21.2,48664,53725,28267
1167,08041003902,"Census Tract 39.02, El Paso County, Colorado",08041003902,EL PASO,12304,302.5,3.6,104623,107516,34271
1168,08041007300,"Census Tract 73, El Paso County, Colorado",08041007300,EL PASO,10403,698.2,5.9,129015,158750,53181
1169,08005083700,"Census Tract 837, Arapahoe County, Colorado",08005083700,ARAPAHOE,4311,2395,5,81875,101572,38281
1170,08005086100,"Census Tract 861, Arapahoe County, Colorado",08005086100,ARAPAHOE,4804,6580.8,2.4,97625,97599,31840
1171,08005007107,"Census Tract 71.07, Arapahoe County, Colorado",08005007107,ARAPAHOE,8660,1589,3.1,123819,138418,41389
1172,08005085100,"Census Tract 851, Arapahoe County, Colorado",08005085100,ARAPAHOE,6920,4805.6,1.7,155403,173657,50676
1173,08005085600,"Census Tract 856, Arapahoe County, Colorado",08005085600,ARAPAHOE,3317,6769.4,0.8,126550,140790,42758
1174,08005085500,"Census Tract 855, Arapahoe County, Colorado",08005085500,ARAPAHOE,5581,6644,2,112868,121578,39858
1175,08005087000,"Census Tract 870, Arapahoe County, Colorado",08005087000,ARAPAHOE,5090,13756.8,24.1,49688,62513,27022
1176,08005086800,"Census Tract 868, Arapahoe County, Colorado",08005086800,ARAPAHOE,7062,10700,15.4,55669,78881,36803
1177,08005005551,"Census Tract 55.51, Arapahoe County, Colorado",08005005551,ARAPAHOE,3506,2897.5,16.5,47126,52377,18664
1178,08005007702,"Census Tract 77.02, Arapahoe County, Colorado",08005007702,ARAPAHOE,4260,3981.3,16.8,49044,64224,23933
1179,08005080100,"Census Tract 801, Arapahoe County, Colorado",08005080100,ARAPAHOE,4425,8045.5,14.9,38977,54318,23301
1180,08005084800,"Census Tract 848, Arapahoe County, Colorado",08005084800,ARAPAHOE,3519,6067.2,5.7,82092,90715,30788
1181,08005007101,"Census Tract 71.01, Arapahoe County, Colorado",08005007101,ARAPAHOE,5121,11.1,7.3,72534,92680,34080
1182,08005081900,"Census Tract 819, Arapahoe County, Colorado",08005081900,ARAPAHOE,6745,6678.2,24.2,41499,53171,19286
1183,08005082000,"Census Tract 820, Arapahoe County, Colorado",08005082000,ARAPAHOE,4250,3373,24.4,41518,44591,18929
1184,08005081400,"Census Tract 814, Arapahoe County, Colorado",08005081400,ARAPAHOE,4229,4146.1,11,65833,73909,29334
1185,08005007202,"Census Tract 72.02, Arapahoe County, Colorado",08005007202,ARAPAHOE,3997,6245.3,24.6,35361,46798,17130
1186,08041007500,"Census Tract 75, El Paso County, Colorado",08041007500,EL PASO,8634,141.1,1,122292,143786,49329
1187,08041003909,"Census Tract 39.09, El Paso County, Colorado",08041003909,EL PASO,7048,22.2,7.4,69224,82232,28890
1188,08041002300,"Census Tract 23, El Paso County, Colorado",08041002300,EL PASO,1743,1428.7,35.3,20217,40257,23299
1189,08005087200,"Census Tract 872, Arapahoe County, Colorado",08005087200,ARAPAHOE,4302,4780,19.9,52443,74542,38201
1190,08005085000,"Census Tract 850, Arapahoe County, Colorado",08005085000,ARAPAHOE,1674,1339.2,2.6,107917,150984,54342
1191,08005083800,"Census Tract 838, Arapahoe County, Colorado",08005083800,ARAPAHOE,3095,6190,5.9,65855,93912,35595
1192,08005007105,"Census Tract 71.05, Arapahoe County, Colorado",08005007105,ARAPAHOE,5650,167.6,7.3,85156,107528,34145
1193,08005007104,"Census Tract 71.04, Arapahoe County, Colorado",08005007104,ARAPAHOE,5708,266.1,2.3,93147,102669,28399
1194,08005086000,"Census Tract 860, Arapahoe County, Colorado",08005086000,ARAPAHOE,8151,6270,5.3,92960,102000,31432
1195,08005007106,"Census Tract 71.06, Arapahoe County, Colorado",08005007106,ARAPAHOE,5722,88.8,5.9,115865,118492,37867
1196,08005083100,"Census Tract 831, Arapahoe County, Colorado",08005083100,ARAPAHOE,6631,6501,4.5,73060,87337,34182
1197,08005080600,"Census Tract 806, Arapahoe County, Colorado",08005080600,ARAPAHOE,3403,7089.6,17.7,48008,52662,29280
1198,08005007302,"Census Tract 73.02, Arapahoe County, Colorado",08005007302,ARAPAHOE,5324,10648,28.3,34068,39224,13368
1199,08005080000,"Census Tract 800, Arapahoe County, Colorado",08005080000,ARAPAHOE,3312,6494.1,11.2,50383,57016,21980
1200,08005006854,"Census Tract 68.54, Arapahoe County, Colorado",08005006854,ARAPAHOE,2868,877.1,5.9,84821,104315,46767
1201,08005007201,"Census Tract 72.01, Arapahoe County, Colorado",08005007201,ARAPAHOE,4023,7888.2,30.7,33750,47044,16476
1202,08005083600,"Census Tract 836, Arapahoe County, Colorado",08005083600,ARAPAHOE,3450,1691.2,8.9,51438,61366,30454
1203,08005086600,"Census Tract 866, Arapahoe County, Colorado",08005086600,ARAPAHOE,5844,2065,5.7,84564,103884,44234
1204,08005085300,"Census Tract 853, Arapahoe County, Colorado",08005085300,ARAPAHOE,2462,3467.6,1.7,100329,151360,58687
1205,08005085200,"Census Tract 852, Arapahoe County, Colorado",08005085200,ARAPAHOE,2941,2100.7,3.2,134107,149680,48220
1206,08005086500,"Census Tract 865, Arapahoe County, Colorado",08005086500,ARAPAHOE,5220,2202.5,2.3,81756,124981,45796
1207,08005086300,"Census Tract 863, Arapahoe County, Colorado",08005086300,ARAPAHOE,4669,2551.4,9.7,74415,87151,35798
1208,08005006856,"Census Tract 68.56, Arapahoe County, Colorado",08005006856,ARAPAHOE,8745,1188.2,8.6,76305,97004,38538
1209,08005006857,"Census Tract 68.57, Arapahoe County, Colorado",08005006857,ARAPAHOE,2239,2907.8,0.2,145833,224704,90468
1210,08005006501,"Census Tract 65.01, Arapahoe County, Colorado",08005006501,ARAPAHOE,2289,3521.5,19.4,49279,55050,30675
1211,08005005623,"Census Tract 56.23, Arapahoe County, Colorado",08005005623,ARAPAHOE,4298,2755.1,2.7,101454,126364,51810
1212,08005006713,"Census Tract 67.13, Arapahoe County, Colorado",08005006713,ARAPAHOE,1582,7910,6.1,71750,76836,40824
1213,08005006858,"Census Tract 68.58, Arapahoe County, Colorado",08005006858,ARAPAHOE,5102,4680.7,13.7,65718,97953,52097
1214,08005005635,"Census Tract 56.35, Arapahoe County, Colorado",08005005635,ARAPAHOE,4974,4782.7,4.7,95709,116176,49164
1215,08005006712,"Census Tract 67.12, Arapahoe County, Colorado",08005006712,ARAPAHOE,1385,706.6,4,164432,286073,116810
1216,08005005636,"Census Tract 56.36, Arapahoe County, Colorado",08005005636,ARAPAHOE,1819,923.4,3.1,,373251,134989
1217,08005004951,"Census Tract 49.51, Arapahoe County, Colorado",08005004951,ARAPAHOE,2268,37800,15.7,47760,50232,30315
1218,08005004952,"Census Tract 49.52, Arapahoe County, Colorado",08005004952,ARAPAHOE,2759,5630.6,13.9,43220,54049,32452
1219,08005082700,"Census Tract 827, Arapahoe County, Colorado",08005082700,ARAPAHOE,3602,7663.8,5.7,76182,84398,28539
1220,08005082200,"Census Tract 822, Arapahoe County, Colorado",08005082200,ARAPAHOE,6222,8296,9.4,52205,67825,24653
1221,08005082500,"Census Tract 825, Arapahoe County, Colorado",08005082500,ARAPAHOE,2209,4508.2,7.6,64856,80062,27865
1222,08005081500,"Census Tract 815, Arapahoe County, Colorado",08005081500,ARAPAHOE,3026,4322.9,7.9,36036,47401,34039
1223,08005006502,"Census Tract 65.02, Arapahoe County, Colorado",08005006502,ARAPAHOE,3531,4708,13.7,62755,76291,32588
1224,08005005552,"Census Tract 55.52, Arapahoe County, Colorado",08005005552,ARAPAHOE,2508,3174.7,27.6,31543,40205,18520
1225,08005007704,"Census Tract 77.04, Arapahoe County, Colorado",08005007704,ARAPAHOE,5045,15765.6,16.8,44089,50526,20032
1226,08005084100,"Census Tract 841, Arapahoe County, Colorado",08005084100,ARAPAHOE,4389,7439,11,65651,72870,26608
1227,08005084500,"Census Tract 845, Arapahoe County, Colorado",08005084500,ARAPAHOE,3102,11078.6,10,57917,68889,27498
1228,08005005634,"Census Tract 56.34, Arapahoe County, Colorado",08005005634,ARAPAHOE,3137,2010.9,5.7,64939,93732,50421
1229,08005084900,"Census Tract 849, Arapahoe County, Colorado",08005084900,ARAPAHOE,3352,4721.1,0.9,148390,180357,58915
1230,08005081100,"Census Tract 811, Arapahoe County, Colorado",08005081100,ARAPAHOE,6048,6434,17.9,38642,46027,20194
1231,08005081200,"Census Tract 812, Arapahoe County, Colorado",08005081200,ARAPAHOE,4599,9017.6,15.5,48097,57148,24466
1232,08005084700,"Census Tract 847, Arapahoe County, Colorado",08005084700,ARAPAHOE,4606,6773.5,6.8,75673,87377,31959
1233,08005084200,"Census Tract 842, Arapahoe County, Colorado",08005084200,ARAPAHOE,3826,6712.3,5.2,70365,78303,26956
1234,08005084300,"Census Tract 843, Arapahoe County, Colorado",08005084300,ARAPAHOE,3613,7854.3,9.8,76908,86007,28948
1235,08005085800,"Census Tract 858, Arapahoe County, Colorado",08005085800,ARAPAHOE,1687,4961.8,3,78790,86444,32175
1236,08005083400,"Census Tract 834, Arapahoe County, Colorado",08005083400,ARAPAHOE,7435,7081,2.7,76339,82894,26051
1237,08005081300,"Census Tract 813, Arapahoe County, Colorado",08005081300,ARAPAHOE,3108,6906.7,16.3,56528,67705,23729
1238,08005085400,"Census Tract 854, Arapahoe County, Colorado",08005085400,ARAPAHOE,4543,6398.6,6.3,123113,120651,37879
1239,08005086200,"Census Tract 862, Arapahoe County, Colorado",08005086200,ARAPAHOE,6675,7761.6,2.7,104079,115184,34863
1240,08005085700,"Census Tract 857, Arapahoe County, Colorado",08005085700,ARAPAHOE,4515,6738.8,4.1,65571,78652,30635
1241,08005083300,"Census Tract 833, Arapahoe County, Colorado",08005083300,ARAPAHOE,4413,5963.5,5.7,76993,81031,34256
1242,08005084000,"Census Tract 840, Arapahoe County, Colorado",08005084000,ARAPAHOE,2570,7787.9,7.2,87270,107821,33886
1243,08005007703,"Census Tract 77.03, Arapahoe County, Colorado",08005007703,ARAPAHOE,4769,6716.9,19.8,49260,66217,24794
1244,08005082100,"Census Tract 821, Arapahoe County, Colorado",08005082100,ARAPAHOE,7453,9937.3,24.6,64253,69464,22373
1245,08005081000,"Census Tract 810, Arapahoe County, Colorado",08005081000,ARAPAHOE,5922,6437,34.2,33071,41611,17361
1246,08005080300,"Census Tract 803, Arapahoe County, Colorado",08005080300,ARAPAHOE,5512,5624.5,8.4,69800,82097,33698
1247,08005080400,"Census Tract 804, Arapahoe County, Colorado",08005080400,ARAPAHOE,5101,5484.9,6.5,63679,77527,32325
1248,08005080800,"Census Tract 808, Arapahoe County, Colorado",08005080800,ARAPAHOE,3463,9894.3,21,49083,55969,18646
1249,08005080900,"Census Tract 809, Arapahoe County, Colorado",08005080900,ARAPAHOE,4763,7327.7,20.2,59929,70827,20977
